[00:00.000] 我学院教科。
[111:39.440] 小毛病不断，没系车型它就是一种情况，比如好评高。
[111:44.470] 我在公司都出了名了，动人的还休。
[111:49.410] 都知道你又不在就修车去了。
[111:52.410] 动不动又远了。
[111:54.960] 其实这个倒不是品牌的问题，您说的领导就稍微长一点，你想在07年的时候，他很多配置都没有作为一个。
[112:03.510] 不是这两年还好一点，就刚开始那几年就那个火花塞电瓶乱七八糟，就一系列的跟我撂在路上，但是可能跟我开车也有问题，开车比较
[112:16.160] 麻烦，我不太管保养，可能我不太知道，然后到时间了我老公也想不起来这车子，就超市这个要注意了。
[112:27.400] 不过这些都是有。
[112:28.790] 的预期的
[112:30.480] 挺好。
[112:31.940] 我到时候我估计可能没多久，完了就下个月，
[112:37.040] 我当时出来看看，
[112:38.600] 发过来了。
[112:40.610] 反正各家4S店价格都差不太多吗？对没错了，反正除非你买一些小的。
[112:46.960] 因为车源比如说小型车他们没有授权，或者说是没有车源。
[112:53.650] 对，我还想问一下
[112:54.820] 白区是什么？
[112:56.720] 不是这种素色漆。
[112:58.250] 汽车有发黄变黄这个吗？
[113:02.140] 金属器就是。
[113:04.030] 金属漆的白色，你买了以后就行，
[113:08.430] 拿了以后就黄，然后随着时间区的话慢慢。
[113:13.400] 而且变黄原因，第一它的腐蚀氧化而变化，
[113:17.840] 其实跟保养有关系，这没问题。
[113:20.670] 但是也是随着您后期的。
[113:23.880] 美股因素就是共同为公益一样，比如我剐蹭的话。
[113:30.910] 那个不用公道色差金属壳孑会有很大很差，对那就是发跑，对再过段时间再待天一块新的气。
[113:39.030] 影响，因为射击色差确实挺大的，扬鞭前脸过两辆，颜色不一样。
[113:46.830] 还有。
[113:47.620] 其实对大家这车。
[113:49.810] 养护并没有跟其实说白了买到手就知道就是一袋子。
[113:56.090] 来说平时就不懂了，有时候只要差不多就洗车能洗洗脚还是那么高了，不是，所以想买白车，因为拍摄可以烧钱那张安全这种。
[114:05.640] 是我觉得你要是如果不想手机，你可以情趣去自己写一下这个车的意思。
[114:12.510] 但是我昨天还在T1039乘客直接说要打死玩对不对？
[114:19.840] 做节目他都怎么说，我觉得其实因为推这东西
[114:23.700] 够了，
[114:25.410] 也挺贵的，然后我觉得能好多少，其实就像我觉得
[114:30.010] 我就是说她就是一个
[114:34.230] 工具而已，其实要算起来的话，聊天这样的话实际上算起来的话已经是不一样，你想主要做夫妻，我刚才说任期就是他吹，他也不能材质的1.23就有才智，
[114:48.430] 你买了车普通夜场的质疑好友400，
[114:52.820] 对吧？
[114:53.440] 1万2万3万多4万多都有，那么这种价格为什么那么贵？就是它有效或者一些
[115:00.270] 轻微划痕也不用机器了，可以保险不用花钱。
[115:04.540] 对吧？因为这是一个钱，然后第二个你必须俺了，
[115:08.230] 对吧？租金百万已经做了。
[115:10.140] 饭店、银行卡都可以去做。
[115:12.820] 我给你做一个第三就是三以后卖车的时候，他们用的产品你保护，谁知
[115:22.250] 就会食品更大多，而且它本身就增加就是说提亮的销售，你发现看我们的车提车的。
[115:29.910] 一天5年车你不能给我了，你抛光洗车，你看的时候这辆车就是不一样，卖的时候价格可能就是包袱。
[115:36.930] 因为比如说你买奔驰找意识。
[115:39.300] 三四十万四五十万价格，
[115:42.530] 当你卖车的时候增值它属于不会比如说相似的地方还是一等。
[115:48.070] 你吹他多少钱？
[115:50.240] 大家都考虑这些个奔驰保值吗？
[115:53.980] 因为相对来说在淘汰的这方面。
[115:56.570] 跟吃薄一张PPA跟的第一个
[116:00.220] 往往是这样，然后
[116:03.310] 因为随着奥迪。
[116:04.540] 持续的不停的这种降价的政策，
[116:07.770] 他来买的话持续会贬值他的
[116:10.840] 自己特色，比如说举个例子，比如买台奥迪A密码我可能在三年前买的，已经让我们看车了，L可能
[116:20.070] 我买一个正常的2076能卖几万分，44万45万，
[116:25.910] 那么现在换车我再换一下新款的，
[116:29.040] 因为现在一看这整车价格就已经达到
[116:33.830] 3530 50万好吧？
[116:37.980] 你是按照信贷走向。
[116:40.490] 可能这就不少了，对吧？如果说一看现在还卖的跟我原来也是差不多，我说我当时买40。
[116:48.230] 现在可能39。
[116:50.080] 这个车可能对我能保值，你买基金买老了，我都在这个价位上，
[116:54.650] 就不会压力太大。
[116:56.670] 包括现在看来说你有。
[116:58.210] 有感觉，但你不能说军备是吧？
[117:01.040] 你看现在军费多少钱，
[117:02.850] 对不对？
[117:03.730] 没有看过，我从马上接口再温柔的人。
[117:07.820] 现在您评估的车位主宰几大点，第一点就是你现有新车的车多少钱，
[117:13.790] 第二个就是它的没有太大的变化了，
[117:17.670] 始终煤化工
[117:18.800] 那时候钱都值钱。
[117:20.160] 对，那个时候全下来办完了22万多，那时候钱多值钱，22万美金22每下面估价的变量对。
[117:28.250] 通货膨胀。
[117:29.400] 所以说现在这边7系统可能发生，
[117:32.820] 分析管编队一旦岗位合适，
[117:37.270] 农村七就全款的钱
[117:40.460] 放一部分，
[117:41.630] 车里面一部分的自己。
[117:43.650] 好了，像我这样的就一半还是公司30%分这样一半。
[117:51.530] 120
[117:53.100] 八。
[117:53.880] 这是一半停车，
[117:56.330] 每天拿出固定的
[117:58.920] 差不多自己
[118:03.510] 一般需要25万，对。
[118:05.930] 算了大概25万。
[118:10.360] 其实还是800万。
[118:13.930] 持续的货车，
[118:15.790] 说其实在5年正直换成是我觉得是明年
[118:20.400] 即使那个车没有那么的东西那么快，完了他包括这回事加起来，然后
[118:28.550] 没有太大变化，因为车一般7年就马上文章还没换代，不知道。
[118:33.640] 那个车1~6年以后，
[118:36.800] 好多的件比较换了，尤其像奔驰，
[118:42.330] 那个叫什么？
[118:44.560] 你所有的件拆开卖，能买三辆奔驰的速度，
[118:48.380] 还是换了，这您可能大家了叫邻里零配件的这种比例，
[118:55.080] 大量
[118:57.430] 小编这款反对，
[118:59.880] 当时出门打电话时候，
[119:02.500] 看到拿走，
[119:05.440] 我觉得
[119:07.490] 还有没有？因此走了。
[119:09.590] 处了。
[119:13.120] 这个清楚。
[119:16.690] 就可以用明年的话，因为我们家文件客流太少了，回去快乐对您。
[119:23.250] 样的话，因为您
[119:24.950] 让车源授权出了。
[119:26.560] 车应该后续的保障了，因为我家里边也对了，
[119:30.520] 这个地点地理还是挺方便身边的我为什么宝马在家在我们家住着一个月一遍。
[119:39.090] 钱二我得先跟家里说一声。
[119:41.670] 还没跟我说那家刚才领导来电话，
[119:45.420] 不能领导，还不是你家里。
[119:47.920] 对，家里我还没跟我爸聊，刚刚跟我妈说。
[119:51.340] 分别说。
[119:52.660] 走了您问了完了没问题，现在我算了一下，其实就是我全车下来相当于这两年多一共花了。
[120:00.000] 12万吨。
[120:00.750] 算一下帮我算算42 51，我看看利息最后平均多少，
[120:06.210] 它不能分5年这个事就很难了，37,00037,000的利息。
[120:11.000] 你觉得怎么说？
[120:13.490] 觉得没问题，通货膨胀差不了多少，我觉得是37,000，但我工资真不见得。
[120:20.800] 我们单位公司通跟通胀没有必然联系，
[120:25.110] 不过房价还是购房，我公司是一点不涨不降是吧？只要杨福岛我给他讲，其实我们抢我们国家我们
[120:32.950] 道歉走到三年了，房子还得付房租，后面
[120:36.420] 我们还得付房租，执法安全结合。
[120:39.260] 不建议O了，就建筑，但其实因为我们是本身个人是没有什么其他的贷款，所以说我是想把贷款放长之后压力小。
[120:47.580] 对就是说如果能5年1月3000多，就等于这贷款对我来讲
[120:52.040] 基本上没什么感觉，但是一定要是1万就不一样了。
[120:54.860] 三倍设计半夏他就不一样，但是还有7分其实被也放15万关键是。
[121:03.600] 你要是千万不让我放1月1万多，那我就给1万多，也没啥问题，还是有保证，谁知
[121:10.900] 后期压力少了。
[121:12.610] 现在就是想办法把这头两年的事搞定了，所以我才跟嘉宾讲一下，对。
[121:18.740] 就来考虑你问问怎么样，他这价格怎么样给你钱之前去车站。
[121:24.300] 都差不多，只不过车辆
[121:30.150] 倒掉。
[121:31.000] 我如果这个事定下来，什么时候能提车，对流程是这样的，如果说您先说两种情况，一用别人指标
[121:39.110] 先
[121:40.140] 只要您能确定好指标那么一次，你就可以先来订车，交一定金1万块钱，
[121:46.000] 订车以后有没有现车有现车，
[121:48.940] 就在比如说三四天就交货了，三天交货对收获不算，然后就可以教父亲手里了，交款就提车了，我如果跟你这直接签，如果说他跟我的企业家也是心交给定金，然后咱们有现车一只金多少万也是1万1万块钱，
[122:06.930] 然后车一周之内停车其实很快，那么中间会进行一个初诊。
[122:14.040] 对您打印北京是吧？您做工作那种我这事业单位那工厂了对吧？看看中信打一流水，先家长两个月三个
[122:25.910] 流水了，没太大问题，这边有比较稳定的，大家都理解说发出来了我的
[122:33.470] 我的钱就比较少，它里每个月都不点钱，
[122:37.060] 有时候就花几百块钱怎么办？他就那样用您身份证跟驾照两证先去申请流水和其他房产证，那些都是补充材料，我能通过房产证明来来去
[122:50.300] 来去增加自己的征信可以，但是我房产也算是我的，
[122:57.330] 但是国有没有广东的
[123:00.190] 房产登记，这一房产登记
[123:03.300] 写的是我的名，但是没有房本，现在目前只有房产登记证，
[123:08.120] 有那么一个证明活动是吧？有合同有没下载本，有证明本不在我们手里，
[123:14.110] 本也在那压的挺好架势，咱们既然您在店里做的话都比较方便，对吧？
[123:19.920] 还有问一下客户的话，再说如果爸爸了，
[123:23.250] 还给你1月贷款，关键是每个月把钱打到他账户，
[123:33.480] 数据、
[123:38.090] 场
[123:39.400] 市场
[123:46.210] 数据
[123:57.680] 数据。
[124:04.820] 在这种背景下去发展地方，
[124:11.430] 好多了。
[124:20.110] 我看没戏。
[124:24.010] 然后找我们的
[124:25.320] 更好。
[124:26.400] 最后活动，但他们对他的
[124:30.450] 是不到300万的话，好吧？
[124:37.050] 把
[124:39.150] 谁知
[124:41.400] 认识谁知
[124:45.190] 现在这个标准
[124:46.650] 数据
[124:48.150] 的
[125:11.160] 了解他，
[125:18.150] 广州、
[125:21.270] 北京
[125:24.200] 分布
[125:35.730] 的
[125:41.010] 的
[125:52.950] 数据
[125:54.150] 的
[125:55.590] 这里
[126:18.540] 人。
[126:26.380] 然后又卖了
[126:34.740] 因为他之前要收不上
[126:38.520] 把
[126:39.990] 拉倒吧。
[126:41.750] 反正卖的时候
[126:44.230] 他们发现
[126:45.950] 的。
[126:47.240] 发现今天还去了，他走了，
[126:52.890] 的。
[126:54.070] 这工作方案不是
[126:57.450] 有点
[127:00.190] 谁知
[127:02.990] 现在
[127:04.100] 要达到生产还有20万元。
[127:07.300] 不是太大，20万这已经是吧？
[127:11.640] 他原来也没用了。
[127:13.320] 你说了算他们一共要多少钱？
[127:15.900] 你的车5月28号线，
[127:18.840] 我先
[127:20.150] 所以你还是收获10万也百分之，但是我们也黄金交易答案就是
[127:25.970] 这些。
[127:32.480] 做过问题，没事你这工作组4点，然后智能也完成了，对，大概月收入多少钱？
[127:42.150] 明年可能流水上可能就12左右。
[127:48.570] 对，有可能因为我们有好多待遇，不是从公司上面有好多代理租房，这些他都不会有钱的方式来开始，因为我在北京租房子不用
[127:58.400] 就单位给房租的
[128:00.040] 补助对象的，他可能只报消，所以说我上面的现金不用太多，因为有好多都是都报销，那就是有存款。
[128:09.320] 王设计资产固定资产算不算，他就是房子算算特别散，他说有的房产天哪的没那么
[128:18.890] 一般很少，其中一个就是说房产给我们增长这个问题的的。
[128:24.360] 对，因为我多少现金肯定比较少了，不然我也不会因为打球一年流水也就一年可能收到10万，
[128:30.570] 10万进来1万多。
[128:32.700] 我OK就这关系，谁知其他人物可以这么说，结婚
[128:41.330] 这两个人收入的媳妇流水
[128:44.310] 33225对，基本我喜欢挣得比我，因为我这钱都不带照片，
[128:51.170] 所以的不算可能花太多花水了，但是又一代人车也是二婚，谁的都一样。
[129:03.070] 提到了这样对都是一样的，他们也都有希望。
[129:08.600] 我们都是身边家长会，然后搭两块再聊，如果刚买的话，他没有驾照的不是。
[129:16.350] 还有没有？
[129:18.030] 对他留下对担保临近，
[129:22.320] 它提供了环保的姓。
[129:25.420] 交警同志
[129:27.550] 告诉
[129:28.880] 我爸同意作其他所能吧，天天出去
[129:31.760] 花。
[129:32.800] 我说是他车贷刚还完，我妈说了我压力了是吧？
[129:39.190] 我爸打我还说他有这事儿吗？
[129:41.610] 然后你拿着工资40万花吗？还能有钱吗？没有jj没jj。
[129:48.440] 我花了半年，现在这也是主要是看到他们
[129:55.310] 把这给我搞定了，国家的告诉
[129:58.230] 是吧？
[129:59.340] 如果要明白这个道理，
[130:02.060] 然后去年还有一个还有
[130:04.990] 在这一个课题，反正2年多的贷款出生5年之内具备有科技搞定，哪怕通过人肉的方式搞一些改革，
[130:16.030] 流水的要保持
[130:22.090] 小。
[130:27.690] 可以好前面。
[130:43.750] 我这边基本上就没有了，您这边觉得用公司的指标的话，今天
[130:50.790] 指标有区别的。
[130:56.890] 他不是好人，对于我们
[131:00.780] 个人来说有什么区别？
[131:03.380] 用户的影响。
[131:06.210] 我知道就是说用车上的完全一样，包括我们办etc的时候，我问一下
[131:14.550] 没意思，看看我们不知道这些点上浸泡，
[131:19.730] 你如果配合他们都是配合你们。
[131:22.080] 没有。
[131:23.420] 咱们培训。
[131:24.980] 你先等一下。
[131:27.580] 一
[131:32.240] 谁知
[131:34.600] 对吧？首先我在上面我的驾照本身搞到这个程度
[131:40.610] 了，
[131:42.480] 谁知
[131:48.290] 同时也是公司的高管，如果我这样我的兴致本一会儿在你那，但是
[131:56.910] 不过后来我就开始公司的根据客户
[132:02.230] 也没啥问题，不是我不让你失望的。
[132:08.100] 产品也
[132:09.320] 一样，你一笔费用您自己的吧。
[132:12.360] 银行现已经开放了，没问题，可以让你自己不会说一定要看我的信息，拿到薪水去，
[132:18.070] 因为你没有车车号对不对？你心里面有车架号和车牌号，但是你们场景没没问题，今天开放到这个程度。
[132:27.310] 第二个就是一个消费商，
[132:31.730] 基本上
[132:32.930] 有销售。
[132:33.760] 想的话
[132:35.010] 还有
[132:36.720] 你就走了。
[132:39.600] 刚才大家都是这样，
[132:42.020] 来
[132:44.870] 这种
[132:46.090] 谁知
[132:48.400] 运动的
[132:54.200] 要
[132:55.160] 第三点，
[132:57.120] 谁知
[132:58.120] 目前
[133:00.070] 10，然后觉得增加了要把去打靶再去拿地的银行流水，然后我就拿答案，结果我自己都不够了，我没用过这个。
[133:09.300] 我真的不喜欢打压，去年中打电话他把自己打自己
[133:14.190] 银行直接拿着身份证答应了。
[133:17.560] 还有因为性质很大。
[133:20.340] 大大多久的？
[133:22.260] 一年的还是应该一点对吧？
[133:25.530] 有很多。
[133:27.130] 月一半左右。
[133:29.650] 你们俩这够。
[133:31.380] 这一块
[133:33.800] 这套房子启蒙手机没电了，第二号放假开展，
[133:38.270] 谁知
[133:40.850] 将别人的数据
[133:44.330] 你打电话了可以问一下。
[133:50.290] 好看。
[133:51.660] 我买了这个家了拍照。
[134:03.530] 说不明白。
[134:07.130] OK。
[134:07.990] 好的，谢谢拜拜。
[134:10.190] 我都帮你问到了，首先得几点，1.1bc，
[134:13.280] 自己能去干完全没问题了。第二像一个笑一张这之类的，
[134:18.790] 因为电信的时候流动手机号注册12123的时候就把你就能消了，
[134:24.250] 可以消停了。
[134:25.790] 好，然后第三保险理赔也这些不管理赔的话，虽然车主的名字所有人这个公司，那么被保险人投保人都是您自己
[134:36.630] 以后修车行驶本写的是这个公司，
[134:39.800] 被保险是你先拿着行驶本自己真正去这个公司没有平台，
[134:44.110] 如果需要你大金额的，比如大金融这种
[134:47.300] 可能需要一个证明，
[134:49.040] 来出车的时候，
[134:50.470] 一这个公司就在园区里，所以说不开车您办所有业务您都不用管，就直接他把你们送进去就行了。
[134:59.040] 最后回去自己更健康了，买条款哪条写的是说到期之后这个车的产权不用说，
[135:06.360] 到期以后产能规定，因为这个车原来是公司，我当然讲完了之后到合适的时间到一段时间这个车子总要坐到5下来，
[135:14.870] 要3000过完户就是你的了。
[135:17.350] 但是公司为什么配合我过户，是不是公司不配合你过户的有约定，说公司应该就是咱们比如说你
[135:24.570] 你是乙方，
[135:26.210] 对着我叫他我叫我们同事过来。
[135:28.940] 你说我不知道他这里打条约定这个内容把条款看清楚了。
[135:33.460] 对。
[135:34.150] 红包你过来一下一点了，改变了之后，因为我今天买个样板，我在前期3000两块
[135:40.410] 了，这个月算代号贷款占用租赁的企业，
[135:47.040] 又没下来，不过我们
[135:49.740] 中午创意真的实话
[135:53.920] 明显还是
[135:58.440] 人家广大模仿，
[136:04.160] 你看你喜欢
[136:06.520] 钢铁侠
[136:14.160] 去新疆，
[136:16.200] 现在新疆有疫情，
[136:18.480] 也不是现在
[136:21.220] 不可能要我这边不用再上路，
[136:23.960] 只要说买今年定了少年时间，10月5年以上的时间就可以
[136:31.550] 要保留牙上，有机会的话我帮你做出的一个问题。
[136:36.720] 然后没有谁知，
[136:42.550] 我要转到你这儿就有水分的根据
[136:48.250] 手续费
[136:49.140] 我要睡
[136:52.140] 就利息。
[136:53.550] 马上就去合同。
[136:55.480] 对，号怎么了？
[136:58.770] 把话筒。
[137:00.240] 书记员。
[137:03.920] 没有。
[138:06.090] 是说现在11台车没有摸摸，
[138:11.080] 不断起薪点了。
[138:12.720] 应该不算是了是吗？我不知道，我听他。
