[00:00.710] 流转接待的客户交车，
[126:02.610] 没转过型了，20分钟我10分钟差不多。
[126:08.970] 因为我这保险都出版了。
[126:10.730] 还有保险公司，我一般半个小时都解决源头，
[126:13.780] 我也一样。
[126:15.270] 你讲究那么多，他的记录才这女的是吧？更投诉什么是
[126:20.220] 这不是多。
[126:21.890] 特痛快，但是就是密度不是
[126:26.550] 他长什么样？
[126:33.030] 研究院
[126:34.150] 办这种什么搞科研的
[126:37.560] 的。
[126:39.510] 你打一电话。
[126:41.080] 收拾收拾。
[127:05.350] 还是你们俩？
[127:07.000] 我的水还解您吃完饭了吗？
[127:11.580] 行，您吃完饭以后你就还来，我们后面听销售员已经在这等着了。
[127:17.720] 对。
[127:18.520] 给你讲功能，然后我就准备去办临牌。
[127:25.530] 要装修吗？
[127:27.590] 晚上了。
[127:29.780] 马上。
[127:31.110] 正好随300。
[127:36.520] 完了中暑了。
[127:46.090] 你今天回去准备给我刷船是吗？
[127:50.180] 用我提醒你吗？
[127:51.600] 我把刷子刷单拿过来，我给你刷了。
[127:54.670] 我以前有的时候刷了，我现在都找不着了。
[127:57.900] 刷手串买咱俩买，没买多少钱一个你花。
[128:01.660] 买好一点的那种。
[128:03.800] 锚那种的抛弃吃，
[128:07.560] 没发好几了，会很腻了了。
[128:12.230] 我再买点车票没花，
[128:15.530] 我主要没有锁块煤。
[128:18.250] 没事买啥了？
[128:20.870] 你先收一块，我那么逗京东。
[128:25.560] 我现在还剩两块。
[128:34.170] 进了5块，
[128:39.400] 多少？
[128:45.650] 5块8毛2。
[128:48.010] 好，第。
[128:50.920] 你跟你的一样一冷冬冬瓜。
[128:53.600] 那数。
[128:55.460] 什么叫冲突中花，反正是猪毛是吧？
[129:03.490] 支付200。
[129:09.210] 每个炮。
[129:10.760] 花朵饭一般都什么？
[129:12.700] 猪毛的那种一个猪毛刷。
[129:19.390] 两都
[129:24.500] 租房。
[129:25.750] 你先买串是吧？
[129:29.000] 我买份你昨天。
[129:30.540] 回来我买块分分钟的事儿，你昨天川菜来
[129:34.580] 别耍，
[129:37.560] 玩不好，真的我见过好多人，我以前在牛街的时候，我们的哥们在新华社上班的，
[129:44.300] 那会儿流行买那种
[129:47.320] 难南宫的那种的，
[129:50.060] 你知道吗？难料尾料什么的，南南宫北宫的。
[129:54.620] 买一个串松万八。
[129:57.360] 8000的买一串，他妈照样盘出来被。
[130:00.210] 偶工作就是必须你得特别细的。
[130:02.920] 玩真的。
[130:04.460] 完说的特别花，然后有的还列。
[130:08.550] 什么叫硬毛猪鬃刷跟那几是吧？您刷刷你这一对就行。
[130:14.170] 23分有什么区别？这俩一个是抛光的上色的，
[130:20.140] 猪鬃毛上色板。
[130:21.540] 调查。
[130:22.750] 不是，他是有油性。
[130:25.260] 朱毛跟头发似的。
[130:27.450] 你还不对，我懂得多。
[130:30.310] 你且得入通，真的你写得上到这里刷干净了，就是纳米刷就是上量，我拿手捂拿手扒拉就拿刷子发的啥？
[130:40.170] 你且得上的毛都不拿手抓，我给我拿刷子刷都拿。
[130:45.220] 你先得拿刷子，刷完之后那女孩什么东西你要玩，虽然在拿刷子刷出来之后再怕你要是玩完橄榄的话，什么都不用，只要手干净弹出去了。
[130:57.000] 但是你要玩金刚，完别的这些都得先打顶其实。
[131:02.250] 橄榄你玩一串素串也行，
[131:04.870] 我就要不开心。
[131:07.570] 妈这玩意好了，
[131:09.400] 宋浩玩出来也漂亮了。
[131:11.650] 没有。
[131:13.160] 没有是吗？
[131:15.280] 这不叫今天，我看今天在天桥上看一哥们带一个你。
[131:20.390] 我给你看看，我偷拍了一下怎么得着魔了，我正好看见了，他还拿了一块。
[131:27.740] 小金刚。
[131:28.680] 没用。
[131:29.690] 其实你整一块小金刚也行，长串导致配置一个配置的东西好看的。
[131:36.310] 什么这块你是。
[131:38.630] 你现在就可以配东西了，你这颜色你不配是不好看的，你已经可以配置了。
[131:45.730] 然后就随便看看，
[131:48.000] 这样配上你把你带到
[131:50.840] 你打。
[131:52.750] 我给你拆了，看看好玩不好了。
[131:55.540] 我跟你。
[131:56.150] 说你把你重新穿一下，
[131:58.150] 你把颜色深的放在一起，
[132:00.650] 颜色深的放在一起，盘的时候先着重盘浅色的
[132:04.480] 多穿点。
[132:11.220] 还有一个头的你还穿。
[132:14.210] 穿20。
[132:17.440] 主任。
[132:19.580] 就卖给我重复穿点，我穿回家给借给你。
[132:23.980] 你就拿走，拿走我给你传一下给我拿回来，完我给你对。
[132:28.980] 行，你就晚上你说你别忘了给我就行，回家我就穿你观察。
[132:33.530] 真的好看多了。
[132:37.810] 以后我也弄一个价格表。
[132:42.450] 双面穿多少钱？
[132:45.800] 对我回来买点垫片。
[132:50.080] 我他妈完了我人没成本，我们都是有成本的。
[132:55.890] 你那样的方向我肯定不一致。
[133:07.070] 为什么第三个
[133:08.450] 一样的。
[133:11.670] 刚才
[133:12.500] 就是说放在这里，
[133:14.910] 谁知
[133:17.230] 那些事我也不用。
[133:18.940] 你先这样，你先把身份给我，要张照片你拿走，你还拿着碗里的。
[133:22.640] 您坐这。
[133:24.980] 那就放手上装了吗？
[133:27.700] 您先我仍然接受，对，我这边不用运作着不好。
[133:43.360] 我今天忘了带驾照没事了。
[133:45.960] 您开走。
[133:48.690] 问题不大，
[133:50.390] 现在很少有人查，
[133:54.240] 然后我就装着啥事。
[133:59.790] 就算您没来的话，他检察系统异常。
[134:07.440] 心事。
[134:09.550] 谢谢亲的。
[134:13.410] 待会我这边完事之后再给您去做装饰。
[134:20.020] 想着一会儿就完了，前面发
[134:24.150] 交车大概时间
[134:26.160] 最少怎么也得8小时。
[134:28.260] 因为您来得交钱，然后这车
[134:32.090] 多少钱给我弄错了，
[134:33.640] 所以有过退钱也有用。
[134:37.160] 10点了。
[134:48.390] 就要这种小瓶水喝完，
[134:52.910] 便宜看完了就办理完。
[134:56.060] 早点说完了。
[134:58.920] 发票。
[135:00.490] 还没有。
[135:02.010] 待财务我一会去拿我先进的办理。
[135:16.190] 你这样拿着
[135:17.200] 正口罩摘选了一张照片。
[135:21.190] 可以
[135:22.120] 的。
[135:23.940] 时间没有。
[135:29.920] 你把手机给
[135:31.440] 可以收到，让他给您办理马来西亚。
[135:35.660] 您给我们交给他放手，好。
[135:41.240] 那店什么交车礼包什么的，你都给我找到，一会我给你开。
[135:45.200] 车间做的东西已经放了，
[135:48.270] 什么灭火器什么都有。
[135:51.150] 现在你进门
[135:53.000] 验车不查没问题。
[135:54.900] 这个三脚架是吧？现在验车只查三脚架跟这些
[136:01.400] 那些都有反光背心原车大，
[136:04.320] 就像原来的那种气韵的
[136:06.490] 反光背心，
[136:07.950] 现在高级了，以前的社会上没用。
[136:10.960] 不对，因为其实灭火器说实话能搁车里面一点都没错，这么大一秒就说真要发生自燃了，那有什么用就发生，自然你也来不及打开后备箱，这不是你就算来得及，就让你先拿着手里拿着着火了，你那点你也不用me，这得马上跑，离开了你就最好办法就是着了赶紧往边走，对。
[136:32.590] 自然保险是赔的是吗？
[136:36.000] 自然没有，自燃险有上单独不想上，现在保险还真的比较实惠，自然吗？
[136:43.690] 不会是他自然不是说什么车会不会损伤，它，是因为您里边比如说时间长了之后里边有树叶，然后线路老化了或者有短路的地方。
[136:56.720] 是这种方发生自燃，不管说什么车都是一样的道理，不是说车好与坏。
[137:02.450] 那么罗斯莱斯还有自然的对吧？他不一样，他是看这车的一个情况。
[137:07.790] 每次保养的时候都会给您去看这些东西，老线路老婆老话什么的，有没有漏电的地方，因为。
[137:14.570] 你保不齐的，比如车搁那，万一进个老鼠或者净高，你给你刮一下，蹭一下你线路露头了，
[137:21.110] 比如说露头了之后，你两个线一搭搭伙了就着了，
[137:24.600] 这很正常的东西。
[137:26.590] 因为他不是说全铁包上了，
[137:28.780] 这车的地方。
[137:30.130] 对是冬天车里面特别的，因为冬天的话你车里边发动机暖和，但农村里钻进去，对是的。
[137:37.470] 有时候你开机盖可能里边还有胡子，
[137:39.920] 有什么葡萄猫交进去，对就好了。
[137:45.600] 这东西就是时间长了之后，您肯定都能遇到这个问题。
[137:50.080] 可以。
[137:53.970] 可以了。
[137:57.520] 先做个自我介绍，交通专用凭证给您办理的交流的一个手续。
[138:02.340] 大概流程咱讲一下车辆的基本操作，然后开通一个智能的互联系统，还有一个客服的面访，
[138:08.930] 然后都问了一下之前有开过分支出来的。
[138:11.920] 你之前看什么品吗？
[138:13.850] 标志408，
[138:16.180] 一般都是从标致看奔驰，好多客户都是原来开标志，
[138:21.840] 发汽车。
[138:23.040] 对，但一般法系车比较费用，
[138:25.820] 前一两年比较省油，然后越开越费。
[138:31.200] 大众我觉得也挺费用的。
[138:35.160] 这个分开会不会对看您比如说正常来说，您说开车比如到红绿灯了是吧？离得远一点的时候可能就踩刹车或不给游乐溜过去，
[138:46.290] 有的可能是到了踩刹车
[138:49.230] 都有关系，明白吗？因为油耗根据每个人不一样，有的车比如同样的车有车能开出7个油类，有人开出12个由来。
[138:58.430] 就跟您
[139:00.000] 咱先上麦给你们讲课，假如说是咱回顾半生，
[139:06.200] 放不会没事。
[139:08.520] 来。
[139:10.770] 刚打开。
[139:15.870] 远。
[139:41.690] 的
[139:43.710] 的
[141:16.000] 他90天以上可以
[141:19.210] 有一个额外的优惠3万，
[141:22.260] 谁知了加50
[141:58.220] 上
[141:59.720] 的
[144:29.670] 超显浓。
[144:31.160] 龙
[144:34.050] 不适应，
[144:35.170] 我都想回家了。
[144:40.610] 因为今天我儿子过生日。
[144:43.960] 是吗？这6年。
[144:46.950] 昨天你跟我说了，明天我老公生日，
[144:51.100] 今天过生日得在家再做一做的。
[144:54.850] 我媳妇说说麦，我说别他妈瞎跑。
[144:57.280] 社火、
[144:59.760] 在家火腿
[145:02.940] 多弄点买个蛋糕，
[145:17.180] 071
[146:29.000] 模板。
[146:29.820] 怎么自己往外退呢？
[147:38.630] 讲
[147:40.100] 脑袋。
[148:00.360] 我不是在开会，
[148:01.610] 他都喜欢。
[148:03.440] 客户
[149:08.360] 先生是吧？
[149:09.790] 我是百得利奔驰的，您给我买了一个S560迈巴赫吗？这儿给您注册秘书联，给您手机发了一个短信，里面有一个6位数字，您帮我告诉一下。
[149:31.320] 105469稍等。
[149:36.600] 可以没问题，这功能今天已经激活，明天就可以正式使用了，好吧？再见。
[149:41.840] 打扰再见。
[149:48.840] 的
[151:23.640] 二。
[155:39.950] 难道不知道？
[160:12.160] 刚一开始
[160:14.350] 的。
[160:17.730] 对。
[160:18.890] 还款这个都是万全上将的。
[160:53.000] 店买。
[160:53.940] 的话不了决定的，只要
[160:56.820] 因为别的电视没有我这个环节的可能。
[161:00.220] 培养球队，你在别的店买，没有人给你讲车，
[161:05.880] 您是高客经销商，老板也
[161:09.380] 同样的分品牌是品牌，但是你
[161:13.040] 人不一样。
[161:14.700] 公司不一样。
[161:16.180] 它是奔驰品牌，但是它旗下的这些所有的加盟商对加盟商
[161:21.180] 操控上可能是那种反对，你像所有现在。
[161:24.710] 全北京只有我们这一家店有讲托管吗？
[161:27.970] 其他都是销售跟您说说怎么开怎么挂档怎么开，然后灯怎么弄就走。
[161:32.600] 我平台我还会被刘帅给忽悠了，我告诉我问他有没有手上，他说这个车不用开。
[161:40.170] 裁量表就行了，不，他说的是欧洲后的功能，为什么我刚才没跟您讲？
[161:46.670] 因为一般女士的话采功能很难采出来要用，
[161:51.060] 不适用大理解他的正常来说，比如说咱等红绿灯的时候踩住刹车之后脚不能动，
[161:57.320] 再往下深踩一脚，不会在屏幕上出现一个后的HM厚对厚的O to O的
[162:03.590] 就带停车的功能，
[162:04.920] 出现这个功能之后，你可以把脚离开，下车就不会往前走了，想走的话点油直接走形了。
[162:10.280] 但是这个功能的话，你要如果采不出来，你也没看见的话，你才脚往前一走不吓一跳。
[162:15.600] 尤其是女同志要一次E光化妆，
[162:18.260] 我不像我这样子，我就踩脚刹踩着刹车了，
[162:23.060] 然后我再拉一下手刹就行了吗？
[162:25.440] 不那样操作的话，你只是说手刹勒上之后，你的变速箱孩子在这边
[162:30.900] 还是在青岛还有冲突，对，还有说一个拉一个拽，但是肯定有冲突的。
[162:36.060] 两种操作，要不然你就可以自己找个空场试一下，刚才我跟你说那个功能就out后的就踩住刹车，别动再踩一脚。
[162:42.530] 如果说您力量不够的话，把字往前多多推推。
[162:45.920] 然后让他能使劲踩住刹车的时候是一下两脚着刹车使我脚踩住别动，
[162:51.730] 再踩一脚，
[162:52.780] 它就会出现一个厚道了。
[162:54.790] 起步的时候就直接起步之后直接给油门就行了，这是一种方法，如果说你采不出来，
[163:00.790] 还有一种就是很简单，因为她P档很好挂，你就到洪城来按一下P挡就行了，然后在启动的时候踩刹车挂前进就行了。
[163:09.030] 了两种操作都可以对两头，因为它的档位不会像别的档位，它不是您原来打不得推到前面比较麻烦，
[163:15.610] 现在没有档位冲突，
[163:17.420] 你挂什么挡开电脑指令的，
[163:19.640] 所以基本上你就可以来回这么操作，对他变速箱没什么影响是吧？
[163:23.750] 这种两种操作，因为上回就是
[163:25.970] 手刹是不用收的，是手刹的情况下什么时候都不用，
[163:30.680] 因为它都是自动的。
[163:32.100] 首先手刹量
[163:34.990] 也是采集手刹，你平时如果说临时停车的时候不用去拉手刹，
[163:41.680] 为什么？因为您比如说临时停车的时候，您可能比如说灭车或者开门，这两个操作都会
[163:47.330] 联动到她的手刹自动拉起来。
[163:49.640] 如果说您真的手动去拉拉起手刹了，
[163:53.200] 您想在走的时候一定是手中去观手上，如果你是走不了的，
[163:59.110] 就强制受伤了。
[164:01.460] 打开手机，对。
[164:04.320] 所以但基本上您不用去这个手术，因为手术太麻烦了。
[164:08.060] 现在主要是自动手
[164:11.790] 手刹送的。
[164:14.050] 你拉了手刹一块我们就小小安排一次，
[164:18.080] 然后走的时候给你送过来。
[164:20.400] 那个是你冲开的。
[164:25.160] 那个是你充沛的充满。
[164:26.700] 对，那是用你的动力把它冲开的。
[164:29.800] 电车有一个工厂它允许这样的事是允许你，但是其实你老这么操作也不好。
[164:36.510] 好，因为他就算不是因为他电车也好，汽油车也好，它原理是一样的，只不过是一个电极，一个汽油机。
[164:44.830] 但是他刹车系统全是一样的，他本来在这。
[164:47.380] 对，你等于你就老冲他相当于比如一个卡子，
[164:51.440] 卡着你，只不过它的钳子比较多。
[164:53.890] 你给我说能弹开，
[164:55.580] 你像这种强制手动它直接锁死了，你再怎么踩它也不会弹开。
[164:59.370] 但是这种你老谭老谭都松了，你知道吗？
[165:02.550] 所以我们一块还不能正常使用。
[165:05.100] 过来了，对吗？
[165:06.890] 因为不管说是因为有的，因为销售它跟我们讲车这块不太一样，因为我们是对于这样的事，对于车的功能踩刹车，
[165:18.470] 我一直。
[165:19.780] 不算小，你就在商场等着，就是你那车应该有一个。
[165:24.530] 如果你电车的话应该也有一个凹凸后的，凹凸后的话应该是带一个按钮的，对吗？
[165:30.200] 是有一个单独的offer，获得new一个A一个圆圈，有那个按钮吗？
[165:34.800] 没有的话一只有一个手刹，
[165:39.870] 就是单独手上的可不是不是打车。
[165:43.820] 别的说说别的船，
[165:45.430] 然后临时的只有一个强制的手刹，普通正常来说首车的手刹，电子手刹只有这么一个牛了，
[165:53.670] 那就最好别那么早去操作。
[165:55.590] 其实车都能冲开这车一样，
[165:58.190] 使劲给油，
[166:00.010] 到了一定的转速之后，它一样会冲突，但是
[166:07.110] 为。
[166:08.150] 马上就交工了。
[166:11.400] 好的，到位打电话了，一会
[166:15.600] 一会先让他带路，你给等等现在手机号2638是您的手机号，不是您说一下您手机号。
[166:23.870] 18618611761176，你还不是我要给您开通智能互联，您开车用您的。
[166:31.410] 根据。
[166:33.000] 不是您平时不开着车，不开你这手机不是这手机号无所谓，回去告诉你，因为我今天。
[166:39.880] 书这手机号要激活码验证码什么的。
[166:42.330] 你要买啥票？
[166:43.600] OK好没问题，我就说它了。
[166:46.640] 应该有。
[166:48.180] 68799 10 1。
[166:50.510] 不要你了，这就是你的什么了，他开的很允许他开车。
[166:56.550] 也许指标人是您的，对。
[166:59.780] 他就是上车的时候就是先生还是女士。
[167:03.370] 无所谓。
[167:05.240] 其实是无所谓，这就是一仗，特别是账号联系他，让他直接的
[167:10.580] 可能是
[167:13.060] 有一个密互联，me互联有个软件，
[167:19.470] 从那软件
[167:21.710] 看到车的一些信息，比如送多有好多公里，
[167:25.040] 远程开启锁车门也能启动车辆实施定位型。
[167:29.910] 为什么知道你的心思一直让我们知道了远程实时定位是吗？对不对？然后用了那就了可以了。
[167:38.350] 我就给您再给您介绍都有什么功能，不是没拿一起到机场
[167:43.790] 又新了。
[167:45.600] 因为其实他实时定位不是说为了什么，它是为了比如说您找不到车了之后用
[167:52.530] 对你开玩笑，
[167:58.640] 你需要什么？
[168:00.730] 待会等我需要的时候，我问你，您再问您爱人
[168:07.550] 车辆的一个定位，好多客户打电话找不着车了，喝酒头天喝酒第二天找不着车了，
[168:14.750] 然后给我们打电话，你帮我找车在那，
[168:17.060] 好像这样。
[168:20.530] 我们家我
[168:23.080] 大厨的人都来保养了是吧？
[168:26.290] 没有必要的完成零食回来应该的就是喜欢做饭会还做。
[168:35.330] 我还做饭，对。
[168:37.250] 不抽烟不喝酒不打牌，后来没事，
[168:43.170] 顶多手机上斗个地方，
[168:45.570] 反正就可以还被嘻嘻成天盯着，然后可以看到
[168:52.330] 我说了
[168:56.750] 新车开走之后，1500公里之内尽量慢点开，
[169:01.160] 别急加油急才说不要超过120。
[169:04.140] 我们买408的时候什么？
[169:08.250] 轿车的车是上高速大巴车，现在都是不是不科学，原来车是需要的，现在车都是有磨合过的。
[169:18.950] 就在厂家说已经把发动机已经调节好了，磨合完了就不用去了，对，还有
[169:24.890] 冬天的时候可以启动以后直接可能不需要热车，对冬天的时候是这样的，不是说不需要热车，
[169:32.600] 最好的操作是把车打着之后，
[169:35.550] 大概等那么10秒到20秒之后，
[169:38.480] 缓慢行驶，
[169:39.870] 然后别给油缓慢让他怠速行驶，大概1~2分钟之后，比如您出了小区了，1~2分钟差不多出小区的时候
[169:48.010] 再给油就行了，为什么？因为他的机油在冬天，尤其是冬天它会下沉，
[169:53.750] 而下沉之后冬天之后温度比较低，它会有点凝固，
[169:57.110] 让他慢慢的赚的话，让他所有的机油都润滑之后再给油对钢体里边的
[170:04.020] 钢铁里边撞击就没有那么大的冲击力了，如果说你上来就给人地话，比如说。
[170:09.050] 机油现在吃的在这儿，正常上班都是没有的，底上面都是铁，铁碰铁长时间之后对应发动机影响不管，
[170:16.540] 你等它自动划一点之后，然后再打就了。
[170:20.310] 当然这个东西夏天的的小心，对，夏天基本上就是热个10秒2秒就OK了。
[170:27.050] 冬天要对冬天的时候，对冬天稍微的给点时间，
[170:32.710] 但是怎么说现在的发动机也没有那么脆弱。
[170:35.560] 怎么说您就算说上来就开或者激烈驾驶或者怎么样也好，比如说
[170:42.120] 发动机正常比如能死时，
[170:44.240] 你正常暴力驾驶的话，可能半年也差2年，其实没有什么好处的影响，连一般的车现在也就10年，
[170:51.150] 最多就是开10年也该换了
[170:53.120] 了，所以说没什么太，只不过说您可能
[170:56.170] 如果老这么操作的话，您车里边可能会有杂音，发动机的声音也停了，
[171:01.640] 这样然后钢铁会有空洞，
[171:03.920] 然后转速
[171:06.110] 俗称的丢转，就是说比如说你给他百%利他，可能给你80%的动力，就这样。
[171:12.090] 有点丢动力就这意思。
[171:17.650] 你这个车可以聊吗？
[171:19.590] 对，空调是不行的，它只能是
[171:23.800] 起到一个热车的作用，但是比如说你在灭车之前没有关闭空调的话，你重新启动的时候，它公车是一块开的。
[171:32.250] 是这样，他这车是默认到你之前冠车的一个状态，你关注的时候什么状态是什么状况，
[171:54.360] 远程的启动一个发动机下车，
[171:57.880] 不能
[172:00.280] 非常
[172:01.430] 把
[172:02.370] 遥控器就是之前热卖车平时停地库肯定要吗？
[172:10.020] 面B面可能还有点，
[172:13.070] 帝喾基本没开。
[172:20.960] 还不到年，
[172:22.470] 但是他远程启动的话是有要求的，
[172:27.400] 是必须车窗车门都关好的情况下，然后由在半箱左右时候才能使用。
[172:33.690] 半箱油。
[172:34.800] 对半箱油左右，因为它太低的话，它会提示你有可能比如说
[172:40.360] 因为它启动的着车时间是10分钟，他怕你邮寄了之后10分钟，因为
[172:46.070] 原地着车是最自由的时候，
[172:48.380] 哪怕你油没有了，你开车出去，
[172:50.760] 有被毁歌的半路有这种情况，
[172:57.710] 我可以遥控着车，我也给你吊唁。
[173:00.420] 所以。
[173:01.320] 不要但是如果是你用这个
[173:07.520] 用钥匙启动的遥控面前，
[173:11.130] 你正常来说，比如说你在车里边，你是用你的钥匙，然后按的开关启动的车，等你下车之后，
[173:20.320] 你想用遥控去灭车什么业务聊的，就跟
[173:24.280] 刚才说的什么给空调一样，它默认原来的状态。
[173:30.850] 这个车不是上去利用口碑一下才能启动吗？
[173:34.880] 我觉得我的意思说你想灭车的时候必须你是怎么。
[173:38.580] 怎么操作去灭车？
[173:43.800] 你看比如说正常那种机上车之后是不是用手启动的对吧？用手启动了，您下车之后不是想用这APP去灭车，什么也比较快，
[173:51.490] 还是得用手去灭，我就感觉到今天已经有电了，我面向也要控制，不是你要就遥控，不跟你说只起到一个热车的作用，对，比如说您现在车是在着的状态下，你比如下楼了，准备开车时候只要你开车门自己灭了，
[174:07.170] 还得重新启动，
[174:08.480] 它只是起到一个
[174:12.390] 其实启动车就只有那一个办法，就是带着钥匙，然后用手按下去。
[174:16.950] 你想开走就这么一个办法，对。
[174:20.450] 接着选择。
[174:26.080] 那个车钥匙感应
[174:28.590] 其荣7~80公分，
[174:30.730] 不清楚到80，比如我在停车场里我又找到我车的地方，我的车键就行，可能会员密码要求
[174:39.290] 您可以问一下激活码在短信里面。
[174:42.920] 好了。
[174:50.920] 549162. 
[175:27.510] 说。
[175:28.280] 录像吗？
[175:29.170] 讲的一下。
[175:31.560] 我回家看看，
[175:33.610] 没有录像，
[175:35.400] 我就有一个专门的报表，
[175:40.960] 交流介绍演讲。
[175:47.530] 视频了解，然后我给你讲
[175:50.210] 他的情况的
[175:54.590] 挺好的。
[175:57.790] 沃尔沃那个车也不错，
[176:00.220] 或者是。
[176:01.260] 存款、
[176:02.890] 美元
[176:06.460] CAC
[176:08.540] 60还是注意。
[176:10.270] 我反正60
[176:13.480] 6厘米的，但是没有
[176:16.960] 特别
[176:17.740] 不大，就是60。
[176:19.350] 水瓶比较大，90我也见过在仲裁结果。
[176:22.560] 按照大应该是6厘米，
[176:24.060] 也挺好看的。
[176:29.760] 原来的窝还可以，现在的我不行，
[176:35.550] 国产化之后都不可能。
[176:37.510] 我们元小的那年很快在里边。
[176:40.280] 您问了吗？没激活码。
[176:42.760] 了。
[176:43.960] 因为那个是有有效期的，那么一会都不能用。
[176:50.220] 用。
[177:19.010] 你收到验证码感觉到过。
[177:21.330] 有效期那个车要把
[177:26.680] 没带的蜂蜜智能互联网
[177:32.250] 389921。
[177:36.120] 有趣的场地
[177:37.140] 工作。
[177:47.710] 我是赶紧告诉你客户，
[177:49.700] 后来我直接讲后边排队。
[177:58.150] 女士这是咱们的客服给您做简单面访，女士招人本人。
[178:02.860] 我觉得咱们。
[178:04.910] 可能
[178:05.910] 变化了。
[178:06.950] 问问您这次购车满不满意，什么这些问题。
[178:10.390] 然后重新把。
[178:12.510] 结果还有。
[178:19.730] 然后因为这个的话，它后期还会打一个电话回访。
[178:23.790] 电话留的不是您的刘先生的，回去您一定嘱咐一下，因为我没给先生讲车，
[178:29.520] 下次能叫他来让你再给他讲一遍，如果我有时间的话没问题。
[178:34.880] 他待会会把我的电话给您，然后如果他拍的途中不明白，或者你给他讲不明白的话，随时让他问我就行，我把电话和微信都给您。
[178:44.290] 没关系，如果说您下回比如说贴膜的或者说拿牌子什么的来的时候，
[178:50.450] 如果我显示的话再讲一遍没问题。
[178:53.560] 行没关系。
[178:56.090] 您好。
[178:57.690] 电话0已经达到了，我里边部署了就是咱申请购买行小组就行，咱们销售
[179:04.550] 跟您说一下回访，
[179:06.160] 做记录以后会打电话，我们接送点特别在咱们回访厂家，它是生产性，我觉得把有可能被调查，
[179:14.490] 然后如果正好打到你了，收到了接听每一项屏幕满分以后，再挂断以后，在接电话把这个号码进行一下截屏，看着销售才能帮他申请份礼物。
[179:25.270] 您把手机关注一下，咱们明天咱们打回访的打电话是不是女士的手机？
[179:32.020] 对，是先生。
[179:34.600] 谁知信打电话。
[179:41.410] 对，我们打得比较频繁，可能他。
[179:44.940] 绑定什么骚扰电话或者什么那种，所以有时候打通去就一些补贴。
[179:50.570] 找一下关注一下咱们公众号经常组织活动吗？
[179:54.120] 您可以找一个点关注一下，然后的选择一样，就是疫情期间可能组织活动比较少，但是。
[180:02.530] 但是之前比如说组织什么看电影滑雪。
[180:06.620] 卡丁车这些
[180:09.160] 咱的行业爱好方面的
[180:11.790] 可以
[180:13.130] 创业。
[180:15.310] 兴趣爱好三号之前我们组织过包容抓获周边，既然这样，
[180:21.830] 对了。
[180:24.250] 行，然后您签字就行。
[180:27.200] 客户签字，因为开票开就是你本着名字客户签字签名本的，如果对您的销售都是配套买一台非常满意评价
[180:34.360] 的，最多咱这次买车是朋友家人或者给人的名字倒过来的，然后谁知这样，
[180:42.330] 最后
[180:43.840] 的收获，
[180:47.880] 这个服务公约绝不铜板销售强制消费确认的签字，客户签字，横线上签字，我觉得我被通报。
[180:55.950] 我们都是。
[180:57.120] 对了。
[180:58.920] 线上所以说不要让我买方式6000，
[181:02.680] 买车上的装饰，
[181:05.590] 让我难受，交了七七十几万，年幼的很惨，对。
[181:11.400] 什么时候年轻的？
[181:16.110] 别写了。
[181:25.160] 嫌快，祝您愉快，女士，然后上下班还是咱们走着瞧
[181:29.040] 的。
[181:31.670] 这是交车的吗？是吧？
[181:37.950] 交车礼包里面。
[181:40.680] 用礼包里面
[181:52.050] 稍等一下，我去问一下三猫，把原件给你们分解的签字
[181:58.310] 的。
[181:59.840] 平常是用什么手机？苹果行。
[182:03.120] 苹果苹果从您的手机的应用商店里面新鲜打印这种互联，
[182:09.140] 谁知
[182:10.060] 我告诉您搜索了后来点什么？再说一遍，我告诉您搜索了。
[182:15.500] 别给哥您先打开聊着聊好不好看了，还没电了。
[182:21.450] 让我下车小孩了。
[182:23.000] 晚上了。
[182:24.790] 你没有
[182:26.520] 气没见过来。
[182:28.100] 打过来一块给咱那边有租的充电宝，我们有充电线充了句，那么。
[182:34.430] 方便吗？还后面。
[182:36.990] 除非说你差点差一天好吃，你别跟我说没想到了就行，咱们点。
[182:42.590] 看着。
[182:43.640] 先一定一个豪华，有的任务330
[182:48.200] 面不断二风险
[182:50.810] 300万300万，你老公是让你摸手机说你直接让他。
[182:57.640] 性上面按你这个方法下就行了。
[182:59.980] 爸爸明白下载完之后，然后一会儿告诉。
[183:03.730] 您怎么登录，然后回去的话也让他登陆一下，能基础的从APP里边看到你车辆的一个信息。
[183:11.290] 比如说你车的。
[183:12.590] On，太4门玻璃窗观看拍的，然后车在哪？轮胎压力。
[183:18.070] 一续航里程，远程的检索声闻，
[183:21.390] 这些功能时间在这个也条件上，第二也挺好的。
[183:25.200] 如果说蓄电瓶电量要低了，他也会通过那个案子给他发通知，谁知
[183:30.480] 现在他用晚上
[183:34.680] 电冰箱
[183:35.890] 到上海安装
[183:43.060] 一会您要不用手机的时候可以插在那边看
[183:47.680] 上。
[183:49.620] 通常没电了。
[183:51.400] 对，先睡着。
[183:54.650] 苹果手机完了开饭店吃饭了。
[183:58.650] 平常用的时候你把后台都关，
[184:00.880] 后台特别费电煤刚才上面发。
[184:05.910] 千块PPT把它送给会，然后4到给寄了过来。
[184:15.260] 我们把它设置更改了，对我一更天。
[184:18.490] 出现的时候才能这个东西对。
[184:21.080] 然后签几个字，咱这完事儿
[184:25.060] 三包复印件原件车2020年7月1号给您开具正式发票。
