[00:00.000] 交车客户挣钱。
[117:43.690] 行好勒，关丹是在你那里吗？还是再三还是在财务是吧？北京了。
[117:48.660] 完了不回答了。
[117:50.300] 行好了，一会我找找帮我找找。
[117:55.020] 811389。
[118:01.820] 没问题，好的。
[118:03.390] 拜拜。
[118:33.030] 有这么一个沪浙C
[118:35.720] 260豪华，就之前我们说天津那边没说下46,000，
[118:41.240] 46,000送两一两地，
[118:43.900] 电池费1600，
[118:48.970] 现在后面我的事要
[118:51.610] 学生
[118:54.680] 一
[118:56.990] 数据
[118:59.240] 场。
[119:01.900] 场
[119:05.840] 数据
[119:09.490] 46,000
[119:12.890] 场。
[119:20.220] 五
[119:22.960] 没有远场。
[119:28.130] 对
[119:31.440] 吗？
[119:36.340] 风车
[119:43.530] 谁知
[120:02.930] 的
[120:04.750] 花
[120:06.260] 五
[120:08.070] 花。
[120:18.150] 对
[120:20.190] 的。
[120:21.830] 保险
[120:23.550] 的。
[120:32.030] 数据。
[120:40.420] 说
[120:45.620] 行了，
[120:51.160] 这边
[120:55.490] 我等着去拿观单去。
[120:58.060] 好的，保险单上坐着。
[121:00.020] 好。
[121:04.440] 电改电视今天也能拿走，拿不走拿不走，每天在拿着，等到
[121:10.250] 贴膜来的时候没问题，到时候我看是给您乖拿走还是直接邮寄，他说我给你协调，如果能邮寄最好给你个新的地址。
[121:20.390] 我闺女说那电视才1000多块钱，千块钱，
[121:24.960] 就卖两块钱，你说用的住吗？
[121:27.980] 吗？小米的还行。
[121:30.700] 像小米华为这东西我们也不用对机器人很火爆，技术很火。
[121:37.190] 纸质的保险是不是给我一个邮箱，我给您。
[121:41.770] 咱们现在下一步什么等着讲书。
[121:45.580] 讲出给你开梅赛德斯，
[121:48.850] 开什么？梅赛德斯me，梅赛德斯对下APP通过手机看到车的信息。
[121:55.990] 油耗续航。
[121:58.100] 跑多少了，去过哪儿地址定位都能看得到。
[122:01.240] 咱这群
[122:02.580] 群开店一样，
[122:04.830] 哪个关键了我网站了，不是渐渐有的时候你就帮我弄，不能。
[122:10.750] 你别我就怎么着。
[122:12.430] 你不是就是说有事。
[122:15.130] 手机套微信。
[122:17.350] 咱4个人是吧？
[122:19.570] 让下达一共是5个人。
[122:22.150] 内容不是我说我也不怎么用拍对吧？没事是吧？都把衣服你把它一加进来了。
[122:29.940] 跟他同步对。
[122:31.850] 也刚刚宋庄一下刚刚走完了OK。
[122:38.700] 我通过了。
[122:39.570] 直接就打。
[122:41.580] 等会儿拿。
[122:44.200] 刚才陈铭做什么，一会感觉你不用改过来改。
[122:49.200] Nasa咱俩单独的微信别转。
[122:55.610] 没事断装不了高兴
[123:00.120] 的地方。
[123:01.390] 比如说第一次300万，
[123:04.750] 明天可以把阿姨给拽进来，
[123:07.920] 我给你发过去。
[123:09.520] 邀邀请就行吗？
[123:11.320] 要想阿姨就行吗？
[123:13.550] 点就在这里解决，明天加班。
[123:18.880] 谁知
[123:24.640] 你刚才拍了一下店长，所以房产即使
[123:30.880] 我之外，其他人双方工作，
[123:33.760] 谁知
[123:34.960] 谁知了。
[123:38.160] 有一个安静情况，也就是说没问题，我们发现之后我们
[123:42.720] 签单维修违反了对吧？要
[123:49.030] 最后谁知
[123:50.860] 李丹和陈亮是你们这人似的，
[123:53.650] 李丹跟陈亮就是一车辆是维修的师傅，保养不是给他，
[123:58.640] 但是我们克服。
[124:00.050] 我知道。
[124:01.760] 你过来我过去了，或者给你发个东西来了，
[124:07.000] 我需要确认了，不用了都可以使用。
[124:13.010] 我看到你给取个名我改了，我现在改成了，
[124:21.150] 说明你都要改，里边都什么？你看奔驰S300ct就不配，
[124:29.030] 你的名字号车架号，
[124:30.930] 以后这个问题你直接搜欧奔驰不能出来这个群，直接说话行吗？
[124:37.350] 分分钟放松队长这两年
[124:40.370] 哪些原来在看书，说实话，因为课程的含义，咱们这了快速投票不需要注意的你们就完成。
[124:50.450] 但如果说你们都用过，都需要30年，
[124:53.940] 五六年甚至还有有的万一活动的
[125:00.070] 延长，加上C300CT代表什么？就是空调COPE调查，
[125:06.150] 口算叫对叫好就在。
[125:09.620] 然后首先说一下北京老师跟里面的东西，
[125:14.630] 承保的一个主要产品，
[125:16.290] 也就是说当我们的零售价出现产品，
[125:19.740] 然后后面两个，然后
[125:22.290] 回来还是好好再见，简单地说当前操作
[125:29.790] 操作一下，刚才我很多东西我说到这里，
[125:34.400] 那么我可能不太好，其实干这都不是问题了，但是一些我怕了，
[125:40.090] 我会跟国内的强调活动的产品这种咱们受到出现大的过程。
[125:45.490] 基本上都是这么做，清朝。
[125:48.030] 别说你了，今天回来了，我用的长三角
[125:54.040] 非常，所以说其实我们说大众的
[125:56.970] 事情相互影响很深一样，其实这两条都没感觉的特别近。
[126:01.960] 因为高中好友
[126:03.670] 我说
[126:05.040] 还有吗？这是你个人的了。
[126:08.190] 对，不是那是单位。
[126:10.350] 当然你个人的有，好这就是
[126:13.610] 主要是黄色头像。
[126:21.640] 有关的事儿可以在这里，对。
[126:27.180] 刚刚那小伙子跟你说一样，你要真是需要出钱就直接开过来什么，不开说打电话，
[126:36.160] 不敢的话，
[126:45.390] 的
[126:53.010] 三
[126:59.240] 了。
[127:03.240] 数据
[127:09.140] 坏数据。
[127:14.370] 估计看全部的
[127:21.070] 半个小时。
[127:23.990] 最起码
[127:30.530] 了。
[127:35.870] 他讲了。
[127:44.160] 慢慢
[127:47.660] 现在大概还有20分钟就完了。
[127:49.940] 这种延保吃饭，
[127:55.590] 老师你要不这几个人吃，我不着急，我不着急你吃的，因为我们再往后一年你时间都没有。
[128:03.630] 因为其实你看你可以，你看看我有点
[128:07.440] 这样好。
[128:09.210] 延保的问一下给他忙。
[128:13.720] 现在房子你就先吃饭，你把你吃掉，你吃完回来咱妈妈完成。
[128:19.280] 如果你真的吃饭，今天一个人走了，
[128:26.590] 整个一个面，
[128:28.400] 面膜客户一个面板，
[128:30.370] 面访是最后
[128:32.240] 还是现在先讲车概念。
[128:36.160] 流程
[128:38.320] 都结束之后概念都是延保是吧？
[128:42.730] 你看你跟你吃饭了，我们不着急，我现在外边
[128:48.550] 现有客户上午等，他等了半小时，还有别的等着。
[128:54.620] 3000万生意过着，
[128:57.420] 忙点是好事，但是
[128:59.870] 刚才我一个客户以后，
[129:01.770] 还有两个客户，
[129:03.020] 咱们轿车咱们客户找我，
[129:05.410] 要是负担就好睡觉，然后要下午过来，
[129:07.810] 上午临时来了，但是我不能跟玩催对吧？
[129:11.010] 我让我同事带了一下，刚才我临时
[129:13.790] 给我一个老客户打个招呼，见面说几句话，聊10分钟，
[129:17.590] 不想走了。
[129:19.080] 你的原来干嘛的看错开发客户，
[129:22.910] 他160 160
[129:25.790] 还在纠结。
[129:28.560] 之前他一个哥们几个同事应该是
[129:32.110] 它是一种
[129:34.070] 老总级别的关系，提了三个，
[129:37.960] 一个400题了，三个1200，
[129:41.530] 过，
[129:42.400] 然后可以看160。
[129:44.640] 他两个的车
[129:46.120] 一看差点钱，
[129:48.430] 这一天多少钱？
[129:50.400] 他应该预算没问题，就看看车还没地方哪个车型。
[129:55.040] 是普通的S还是马赫的S还没定。
[129:58.190] 一两个月差了30万。
[130:00.680] 卖房子。
[130:02.320] 是不是说他纠结吗？还是？
[130:05.750] 他们都不买，
[130:11.670] 有个月他开IE，
[130:15.050] 拍个对IE。
[130:16.710] 现在买一个S对拿到一般换了S号密码贺，
[130:22.190] 咱们纠结因为AAps一个
[130:26.230] 一个级别的车，但是S
[130:28.730] 从品类来讲，从价格性价比来讲要更高一点。
[130:32.190] 对，所以说想看范冰冰高可以说
[130:39.050] 争取选票的时候160，
[130:41.450] 入门版的1.6，
[130:43.320] 入门版的一百六五门100，对，它分三个级别，4505。
[130:48.980] 560680。
[130:50.400] 560得对300。
[130:52.990] 对300对。
[130:54.930] 680的400
[130:56.460] 了。
[130:58.860] 最后
[131:01.380] 转向这下子屁也不算。
[131:06.600] 所以说但是那个时候你就
[131:12.240] 商务接待老总自己做，
[131:16.350] 他说要
[131:18.190] 你要自己开的得有分机，对必须这个司机也是。
[131:24.430] 因为他们
[131:25.990] 公司
[131:28.370] 商务车型，另外我们入股的时候，
[131:31.260] 晚上
[131:32.670] 顶配200多300，
[131:34.840] 这个公司才给老总还给副总裁。
[131:37.990] 有司机吗？司机平时过来办手续，让司机过来
[131:42.240] 打卡的时候，
[131:43.780] 我记得特别印象特别深的话，
[131:45.640] 第一次我们的客户的时候，他就搞一种生物科技的做疫苗25这个东西大型
[131:52.390] 第一次来的时候就司机开车带着他们的一个
[131:56.180] 等财物库的一个
[131:57.870] 带着一个形成的
[131:59.400] 老总不来。
[132:00.630] 三个人来的。
[132:01.970] 本来提车的时候就是财务那个不对，
[132:05.690] 是财务带一个数据来的。
[132:08.460] 那就是公司指标对公司用，
[132:11.670] 但是公司也是这种
[132:13.210] 个人的能力我知道对。
[132:17.390] 那么后期你们店买东西的时候，司机就接来了，
[132:21.530] 我突然的爆发，掌声你自己的手机真的
[132:27.110] 到。
[132:27.920] 没事。
[132:28.660] 不如先等会。
[132:30.320] 你要继续对你说说发挥关系。
[132:34.360] 你平常归纳一下，
[132:36.760] 谁知
[132:38.510] 他放手，那么你就接着看下去了，你首先
[132:46.790] 谁知。
[132:53.800] 上项目。
[132:54.710] 那么说。
[132:55.610] 自己快速玩，没错。
[132:58.330] 我不像做公司的时候。
[133:08.910] 舞台上
[133:10.390] 比你多少钱多少？
[133:12.840] 一会儿不到600万万600。
[133:15.820] 古田会议。
[133:16.940] 对。
[133:18.000] 在北京为什么不多？他因为烟也他们有一个行贿的问题，
[133:27.480] 他跟中国烟草那边送的黑人，
[133:30.380] 不是抓了几个给他一个行贿，完了他给你配额往北京配多少，
[133:36.920] 最近哪傻的事儿？
[133:38.200] 福建的。
[133:41.110] 其他的像什么南京的、
[133:43.550] 湖北的黄鹤楼，然后人家关系处的好吗？
[133:48.020] 福建不买她们的丈夫。
[133:50.420] 不买他们账给你配合就少。
[133:52.690] 了老买不到。
[133:54.280] 别这正好周
[133:56.020] 真好说，你那边搞的真是非常重。
[134:01.310] 我们。
[134:02.440] 有点像我不抽烟了，有过一个多月不抽烟吗？
[134:05.170] 后来不是那么回事。
[134:06.430] 压力太大。
[134:07.610] 他们自己又太忙，压力太大了，真的。
[134:10.770] 尤其是怎么着，由于周日的时候客户一多也不订车就心烦，
[134:16.080] 又累一天，
[134:18.060] 这压力真大。
[134:20.140] 我这个排行榜
[134:21.990] 做好了，
[134:23.370] 完了1000了。
[134:24.690] 你像我们在北京。
[134:27.990] 租房不是。
[134:29.280] 我爸妈在家给我看孩子，
[134:31.660] 当然我媳妇是还行姑娘，
[134:34.460] 一个月纯支出
[134:35.760] 1万块钱，
[134:36.730] 纯支出1万块钱。
[134:38.090] 五，
[134:38.800] 村支书
[134:40.830] 三
[134:42.110] 三证合1万就是付的。
[134:44.360] 也就1万没问题，这是1万没问题的。
[134:47.710] 现在你们年轻人基本上都有，
[134:50.200] 赚不到1万肯定不会。
[134:53.470] 我的丫头刚才的最牛逼的时候挣将近4万。
[134:58.360] 我们一行到时候你挣多少钱？
[135:00.390] 2月3月
[135:01.710] 3000块钱4000块钱5000块钱，
[135:03.830] 那就不行，除非你原来有点留个几十万积蓄，要不然瞎了，我们能有多少积蓄去
[135:11.360] 跟我的闺蜜说，
[135:13.310] 他管理的房贷，
[135:16.760] 我说先请示代言的代培训哪里，而且现在你。
[135:21.200] 你爸还有点实力。
[135:22.720] 赶紧一次苯教完。
[135:25.040] 完了银行不愿意，对，银行希望你带肯定得刚刚全交完了，我说你踏实了。
[135:32.000] 我说像你河蚌绝不绝对不是说买一个东西，
[135:36.040] 我要先贷款消费，
[135:38.790] 想法不一样，就刚才咱说聊天理念不一样，
[135:45.170] 按照消费都是
[135:47.060] 信用卡。
[135:48.520] 我说你早晚得还不是吗？
[135:52.190] 现在存钱了也是在于存钱了。
[135:55.090] 新款现在要存钱了其实。
[135:57.320] 因为你让我们刚才句话
[135:59.020] 挣个5万，可能花的也多，对，是不是你们就挣得多有多少钱？
[136:04.200] 真是。
[136:05.500] 以前那时候
[136:07.330] 我爸妈还没接小孩的时候，
[136:11.770] 我们俩自己住自由，每天晚上出去吃饭去，
[136:16.560] 一星期或者包包那一会，
[136:19.620] 吃饭吃以后天都在外边。
[136:22.220] 自己在家不
[136:23.950] 出去吃就行。
[136:25.470] 就比这家贵多了，贵怎么好几倍，自己在家记得让我们算过这个账。
[136:30.390] 我们那时候还下班还早点7点了，
[136:33.130] 到家7点。
[136:34.360] 对，然后艾特点关门了。
[136:36.840] 超市菜不新鲜。
[136:38.240] 还得作收拾。
[136:39.850] 得。
[136:40.780] 没半小时每小时得半小时。
[136:42.770] 吃饭吃个10分钟15分钟。
[136:46.960] 没必要了。
[136:48.400] 俩人谁做上下班说谁不行好呢？
[136:52.290] 随时就先出去吃去。
[136:54.540] 推迟比这边多多花三五块钱。
[136:58.880] 肯定的没法弄这个。
[137:00.730] 出去吃少少少得。
[137:02.540] 大几十一两百，是不是这种？
[137:05.900] 他就在北京那么贵，对。
[137:08.790] 你看我去广州。
[137:10.280] 有朋友就不愿回来了。
[137:13.070] 他们都干过企业工业集团的广州
[137:19.030] 我说你还不回北京吗？
[137:20.720] 我去了我们吃饭。
[137:24.960] 难过
[137:26.350] 可好吃还不一样。
[137:29.100] 广州他们可好，
[137:30.650] 完了房价比北京也便宜。
[137:34.450] 广东人北京户口。
[137:37.250] 完了都去浙江那边也是。
[137:40.350] 你们他们北京什么
[137:41.980] 凭什么那么贵？
[137:43.330] 说谁希望它贵，
[137:45.790] 那才中国几个北京的人，
[137:47.550] 就是泰国。
[137:52.270] 上海比北京都起来了。
[137:54.150] 广州。
[137:55.590] 我就去过趟珠海，
[137:58.330] 珠海当时便宜。
[138:02.770] 人从澳门回来，
[138:04.670] 去珠海。
[138:07.110] 我说。
[138:08.000] 这吃饭他的地址已经便宜一半。
[138:11.200] 都是朋友就酒店住酒店，对。
[138:14.350] 咱们就走了。
[138:15.950] 下次
[138:19.010] 推向你们，假如说你们北京。
[138:22.270] 在你在哪花消费不出。
[138:30.160] 门头沟。
[138:31.530] 对三角形对流动
[138:34.970] 消费都不一样。
[138:36.400] 期待都不一样是不是？
[138:41.440] 过程里头，
[138:43.440] 东城西城的
[138:45.730] 便宜。
[138:50.120] 房产
[139:15.810] 上。
[139:18.240] 好
[139:21.590] 场
[139:23.280] 数据
[139:32.810] 收到
[139:39.590] 收到。
[139:42.870] 场
[139:44.440] 数据
[139:46.680] 场、
[139:48.330] 数据、
[139:54.220] 场
[140:51.960] 完了
[142:25.110] 的
[142:26.530] 上。
[142:27.840] 的。
[142:30.500] 场。
[142:31.640] 场。
[142:36.300] 场
[142:44.030] 看
[142:50.510] 号
[142:54.430] 两人出去了，
[142:57.290] 谁知
[142:58.860] 这个车我觉得
[143:00.860] 因为本来这个车从都是是我自己做也很少，有的离开了，
[143:06.860] 我把这个送给
[143:08.600] 前面的，包括了这一个也挺宽敞的的，对没错，你也是。
[143:13.390] 是，因为一般CK了，我自己做，别人没受益，这没问题，所以他们也挺舒服的，对没错。
[143:21.560] 动力怎么样的是吧？
[143:23.600] 16的三点零几。
[143:25.980] 16人，对，这不是320升2.20好几。
[143:29.760] 不是以前320 12:00。
[143:31.320] 第33502350350035。
[143:34.910] 450A的话应该更好了，
[143:37.240] 450就比他多了个电机动力更强。
[143:40.000] 是吗？那是
[143:41.800] 有点电的电池存在的，对这车裸车多少钱？
[143:46.840] 在94左右，94对是我觉得也足够我知道。
[143:52.020] 然后4504五个人三四个人。
[143:55.800] 你就刚才那意思就把第二排座椅。
[143:59.180] 往前瞧
[144:01.490] 了，
[144:06.160] 对吧？能调。
[144:08.330] 这就行了，如果除了开跑长途的话，那么调过来
[144:11.820] 够用，只不过
[144:13.860] 这个车它的座椅躺不下，对，看不了车子可以躺着，就这点区别出来了，对，我不是个腿拖。
[144:23.140] 对更长之后。
[144:24.320] 能躺着。
[144:25.620] 但是很少跑长途，事实上愿意出了点，对没错，所以在视频里坐一个小时半个小时内吵了吗？没必要了。
[144:35.310] 这样也够用也不够，如果经常跑长途的话，你就说。
[144:39.480] 做了五六六七个小时的好像。
[144:42.820] 对，你在实体里面套上客户又多一个小时半个小时。
[144:46.720] 没必要谈了，对你不一样，这个空间其实也足够了，可以不要钱多钱少的事我觉得
[144:52.180] 跟钱没关系。
[144:54.900] 如果现在你们
[144:57.140] 你们什么刚才咱说你外婆和的SUV如果下来的话我肯定多钱。
[145:04.870] 得钱了上不了，因为如果没有一行，可能就是明年他玩弄是换了我肯定换，因为40多吨的
[145:12.930] 在跑长途做得很而且很肯定的那种商务舱。
[145:17.210] 是因为本身你们GS的差距大一点，它有的你像他把期数改成4座的话肯定很舒服。
[145:24.930] 没错，所以还是300万，我也不是在这个钱的事。
[145:30.840] 我觉得
[145:33.390] 要对话后了，对着我最后
[145:36.960] 干部。
[145:38.420] 这边就对着这个客户了，
[145:41.600] 没办法太大没法停车。
[145:44.470] 城市里边肯定会。
[145:46.930] 有隐患。
[145:49.120] 不过全书。
[145:50.360] 你再交就跑无所谓，对对不起。
[145:56.350] 本身你说是市里边车位就比较紧张，特别比较小。
[146:01.290] 对我们那哥们买迈巴赫很多，我们的S6特别MISS60的很多800，
[146:07.210] 至少我哥们有我
[146:09.870] 商量文章，
[146:11.600] 气量，
[146:13.940] 但他们都是在外地开，在北京
[146:17.530] 买车都是可以。
[146:19.280] 我觉得这个是可以的，车
[146:30.370] 但是空间还可以。
[146:35.960] 如果平时您自己一个人做的话没问题，肯定够用，可能就我一个人坐这个车的话，你自己开都行。
[146:42.680] 很少开这么大车。
[146:44.580] 很累。
[146:48.150] 你要司机一年20多万块钱，我干嘛我自己开的，我去那司机得
[146:56.900] 稍微
[147:02.210] 这还没那么成熟的，也就我们。
[147:05.000] 10天的工资。
[147:06.220] 差不多。
[147:07.170] 这个无所谓，你看。
[147:09.570] 500我看看。
[147:11.280] 那是二二手的新款，以前老了不就iPhone版四驱吗？
[147:17.330] 以前老的有S320，S350，S450，还有S500，
[147:23.070] 对我也哥们想买这个是二手的。
[147:28.080] 差不多的，对。
[147:30.290] 你就是说这边
[147:31.520] 在这9突然往那他发动机什么的，跟以前老的S450，S的500就高功率的。
[147:40.970] 这个是现在没劲最好的。
[147:44.190] 真是。
[147:45.680] 这车当时天下不到200，
[147:48.000] 也不到。
[147:48.840] 接不到。
[147:50.190] 100
[147:51.840] 搞汽车是100 180多万。
[147:54.780] 这是S不是二货RS我知道。
[147:58.500] 我记得500光汽车就180多，万全下来不是小200。
[148:07.910] 198. 
[148:09.840] 当时特别惊讶，当时开票价。
[148:12.220] 试着差不多就200，这性价比是最高的车了。
[148:16.520] 我再考虑考虑这个知道好的没问题。
[148:25.960] 因为我们奥迪把我们开了做了
[148:30.010] 买了7年多了，也该换了多少，活了不到12万。
[148:34.980] 我也想
[148:36.390] 换一个方法，
[148:37.880] 开化
[148:40.440] 如果叫S没要钱，这S木质明摆着或者拿。
[148:46.490] 那车就是宿舍也有点太窄。
[148:50.210] 7座。
[148:52.300] 前两排还行，其他安排还是看满意吗？
[148:56.470] 两台还行。
[149:04.950] 因为跑长途还是SUV比较。
[149:08.500] 的过程。
[149:09.540] 好，他这种舒适性，
[149:11.360] 舒适性梅教授好，但是它比较安全，对。
[149:15.130] 一定要安全。
[149:17.730] 上外地去，你看看山能做的不管，
[149:21.250] 他还有那种底盘升降这种。
[149:24.580] 有450手机对。
[149:29.850] 他的工作
[149:32.090] 除了这S和ml，你像这些车都是合资的是吧？
[149:37.000] 对，你像这边几
[149:40.800] S. 
[149:41.710] 现在的话你像
[149:43.370] AA飞一都适合产品，
[149:48.370] 合资的油漆这里不行，确实是。
[149:51.110] 也。
[149:52.150] 谁知。
[149:54.200] 就叫他老百姓家用的话也够用，这些够用。
[149:58.250] 真是将近一年能跑2万公里。
[150:00.870] 差不多有2万公里。
[150:02.500] 你保5年是10万公里，这个车不是正好拍到实物上都是没错，你看这车我估计10万公里以内都没。
[150:10.350] 其实
[150:11.920] 公里数而言还没问题，
[150:14.290] 固定收入您就是一年跑个3万公里跑5万公里没问题，
[150:18.190] 主要是时间长了之后，有些电话对老化它机械就太沉了。
[150:24.000] 他是没问题的，他就是快5年到3年。
[150:27.400] 为什么要上6？
[150:29.380] 腼腆什么？
[150:31.330] 您之前确实不一样，6年换代基本上
[150:37.610] 宣传画也不是什么药，
[150:40.850] 他们是挺熟的样子。
[150:42.860] 它屏幕那种大瓶子我知道，
[150:46.760] 这个产品它可能这种设计比较前卫一些，可能是跟咱这种传统的不一样。
[150:53.390] 风格不一样，对。
[150:56.420] 这一款相对而言还是比较经典的，
[150:59.410] 商务气息还是比较浓厚的。
[151:02.120] 对，然后
[151:04.520] 你发现没有？
[151:06.900] 所有的奔驰新卡的护理工都一样，
[151:11.200] S
[151:12.300] OK这是三条杠。
[151:14.210] 一
[151:16.290] 两条杠
[151:19.040] 不也是一样的，基本上都一样，都是三个灯两个灯，一个灯你看新开奔驰S
[151:26.830] 交易基本一样，
[151:29.560] 所以他一会
[151:30.800] 可能挖了的他都是那种
[151:33.820] 家族化的设计，
[151:35.310] 第一眼就能看出来这是奔驰，但是你如果不信的话，不知道是哪台车，对没错。
[151:42.190] 对是现在都这样，他就是一个社会这种辨识度非常高。
[151:46.720] 对，二一个可能从设计的角度来讲，可能成本更低一些。
[151:51.600] 这样对是不是？
[151:55.640] 行你忙没事我该回去了，行好了，给打电话问题大家随时沟通，随时联系好了，好谢谢。
[152:01.210] 我带你过来好好听。
[152:13.830] 宝马现在卖得很差，
[152:17.060] 奔驰在。
[152:22.280] 先稍微坐下，稍微坐好。
[152:24.830] 经常微信扫一下，行，这微信扫一下行吗？
[152:27.480] 到哪一个。
[152:29.980] 左边
[152:31.190] 到想剪了。
[152:33.670] 手机你打款在哪款都打，不过他们发过去找到了。
[152:39.470] 在连续登录。
[152:40.660] 登录不可以跟对肯定过了。
[152:43.730] 在这里。
[152:45.090] 找这个号。
[152:47.880] 当微信。
[152:52.520] OK。
[152:53.680] 应该是之前。
[152:55.330] 汽车好行，谁知
[153:00.760] 回去让他妈妈没有。
[153:09.470] 京NQ167对确认完毕。
[153:14.480] 行好的，好好联系，好再见。
[153:19.200] 好，别测了你们新客站吗？
[153:22.650] 电梯有点忙，谢谢不好意思，好再见。
[154:03.100] 把这东西给你了。
[154:04.560] 真高，送给你在水正舒服AA套一个
[154:11.180] 记录仪。
[154:15.390] 你等一下。
[154:25.690] 还有个五六分钟大概新型弄完之后直接给你打电话。
[154:29.140] 知道我这边治疗客户。
[154:31.170] 你吃饭吃饭吃饭你不吃吃不了饭他给我打电话给你打电话到哪吹，我就在这工作就行了，这。
[154:37.010] 公费好了给打电话等会行吗？
[154:40.920] 阿姨
[154:45.020] 手抖了。
[154:45.950] 手怎么啦？宝宝。
[154:47.090] 这边这么右手。
[154:48.500] 右手。
[154:51.020] 的。
[154:52.600] 抓
[154:58.880] 场
[155:04.590] 数据
[155:08.360] 花
[155:14.050] 号。
[155:21.240] 钱拿来。
[155:23.730] 这收据是吧？
[155:27.290] 对。
[155:31.080] 当时刷。
[155:32.370] 卡应该过留卡号了吧？
[155:39.010] 等一会我这个是发的是信用卡，OK等一会就拿我手续去等着我行了。
[155:51.480] 哭了呢？
[156:00.980] 客户在这坐着，证书在这坐着。
[156:03.340] 对。
[156:04.290] 好了。
[156:26.160] 了
[156:28.440] 了
[157:28.890] 现在你
[157:33.900] 行。
[157:35.280] 好不好？
[157:36.290] 没问题。
[157:39.440] 感觉如何？
[157:47.310] 噪音比较大。
[157:53.340] 痕迹。
[157:56.290] 行没问题可以。
[158:01.780] 你在关注。
[158:11.440] A180没下不多，反正
[158:18.000] 为
[158:19.990] A
[158:23.560] 一样动态的都是差不多，一起的东西差不多。
[158:29.360] 对是的。
[158:37.080] 没问题，好的，看稍后咱们再联系。
[158:40.390] 好勒，再见。
[158:42.210] 没事别客气再见。
[161:07.440] 票。
[161:15.590] 刚才刷的1498块钱，有一个收据，一个发票，
[161:21.060] 还有一个合同。
[161:22.570] 什么选择这是？
[161:26.610] 1000 2500对是机会，这个合同我得无聊了，留了都给你这个东西吗？
[161:33.890] 然后还有电视他也不打电话，到现在也没送，我这块也是没打给他，反正已经填报了，不是。
[161:40.430] 肯定会给您。
[161:41.610] 就昨天我今天是
[161:46.150] 这条不用了。
[161:52.440] 车的手续在这，
[161:57.990] 这是押金的在我这。
[162:02.320] 保证金的收据。
[162:05.510] 没事，保证金收据。
[162:07.880] 保证金。
[162:09.020] 当时您刷卡是这个卡，我刷的是光大银行2006年的储蓄卡信用卡。
[162:16.070] 不是，这个是叫什么储蓄卡，就贴在这个上面就行了，对。
[162:27.760] 然后那个车的绿本
[162:30.960] 在这我看看。
[162:32.820] 绿本发票吗？你看你需要的东西。
[162:37.880] 的
[162:40.550] 了。
[162:44.970] 刚刚
[163:01.400] 我现在带小孩。
[163:02.610] 没问题，一会我很快。
[163:13.440] 还有好几个的收据，
[163:15.430] 就要这个就好。
[163:18.910] 欠缺我得签字不用。
[163:33.760] 谁知
[163:36.410] 的
[163:41.690] 这是一年有效是吧？应该是
[164:19.190] 有个1万块钱，就原来的定金
[164:22.500] 已经抵达了，我给您大票型成本
[164:27.400] 证明，就您说您说好，不要等一下。
[164:30.200] 你这边放在里头，然后
[164:33.800] 然后就剩下一个绿本要留在一个600一个身份证这本书走什么时候拿？大概一星期之内。
[164:42.110] 正常的话今天是周五，估计得周三周四。
[164:46.400] 身份证要留在这都得用。
[164:48.270] 到铜仁过来取。
[164:49.940] 设计书房
[164:52.440] 给你发了三圈。
[164:55.430] 身份，这是我的还是我的，可是我没办法。
[164:59.760] 这就齐了是吧？
[165:02.440] 手机号刚才说。
[165:04.180] 18618618318351518。
[165:08.960] 51518。
[165:10.940] 4位我看树的。
[165:13.330] 6
[165:14.680] 身份证的也得留着好几天。
[165:19.600] 抛弃了4个。
[165:21.800] 这两个你留下。
[165:23.460] 就一个身份证绿本两个用，对我脱下来。
[165:29.140] 大概周三周四的。
[165:31.180] 下周三对都是联系您。
[165:34.000] 他过来拿做抵押，不贴登记别登记，之后氯苯人家说收走了。
[165:39.090] 身份证给您，这边收到了，
[165:42.630] 这本就不给了。
[165:44.360] 等等还钱之后再给，对行了。
[165:49.060] 行不会？别去吃饭，对，还有啥钱我给你费用不多是吧？
[165:55.390] 别着急，估计得半个月左右，
[165:58.320] 他得一步一步退款给审批的流程。
[166:01.530] 因为电视还得笑，电视很多客户都等着等着就行了。
[166:05.600] 因为这我们是跟集团合作的，我们控制不了一年，以后那不会
[166:11.170] 还不错，我再问一下大概多长时间。
[166:14.730] 所以我们不要对
[166:17.620] 在吃饭。
[166:23.570] 的
[166:24.470] 小东西
[166:26.240] 还是推在卡里，哪来的？
[166:32.320] 延续我们。
[166:36.660] 给他被子送去。
[166:39.740] 得从这边绕一下。
[166:41.200] 这边
[166:44.610] 好勒。
[166:46.310] 组织街坊聊天。
[166:48.290] 好的，拜拜。
[167:52.420] 听听。
[167:53.450] 你吃饭去了是吗？
[167:57.530] 我一块布把绿本跟身份证送过来了。
[168:04.280] 孟凡义。
[168:08.940] 我跟顾问交流。
[168:14.560] 行，等一会马上过来。
[168:28.710] 销售。
[168:30.940] 有维修的
[169:30.080] 不是他主业的时间很长。
[169:33.610] 咱车主闪亮登场。
[169:38.360] 卫生间大概周三周四回来。
[169:41.180] 等会我看到。
[169:43.540] 5050。
[169:46.900] 谁知。
[169:53.550] 国航介绍。
[169:56.800] 只要这个客户
[169:58.900] 你看我上午来了4拨客户，那就
[170:02.280] 似乎都完事了，
[170:03.200] 都完事了。
