[00:01.160] 不对吗？
[94:05.720] 因为才能上二环对吧？
[94:08.070] 然后第二是摩托车能过户，这点现在涨得也
[94:12.730] 估计得二，但是这东西您现在20万跟前些年的我
[94:19.590] 这可能是一次的。
[94:21.590] 对，我就从搬到银行关以后要我以前在新街口住的时候，我随时可以
[94:27.750] 看到那车对我们进不了4环。
[94:30.750] 那也不急了，人家后来也不起来
[94:35.570] 了，顶多是
[94:37.380] 怕他打不着火，骑出来遛圈儿没事儿干，你想其他干嘛。
[94:43.620] 所以我就主张让他你们接触机车和机动车真是挺老的。
[94:49.510] 我最早那是单位的，买完了以后就单位也没人，就是说你说九几年2000年能开上夏利的人倒是相当厉害了，跟现在开
[95:01.730] 拍拍100万都没什么区别，没关系，没有，我们单位几个人都是
[95:08.330] 买我们两个人买夏利，有一个买奥拓，反正就是说我们都是上班的正中心，
[95:16.470] 那就是挺厉害的，因为那会儿没有6万多块钱
[95:20.450] 下地走路了。
[95:22.100] 你现在还没有我让他评估车，
[95:34.070] 行行好，你知道我在哪，我在四环北四环就是居。
[95:43.800] 今年咱家原来住那块混那边没有我不知道吗？后来我就跑这了，因为这块原来杨志买车的时候我就过来了，
[95:55.010] 我就跑了。
[95:58.780] 行，我们家先生
[96:04.440] 星期一到热天他害怕你听，我说他转出去，他告诉我不去了，你自己去怕晕车。
[96:12.920] 是有高血压什么的吗？也不是他有这个毛病。
[96:17.120] 他们家人都爱您，车弄不好吧，有时候天一热心脏什么的应该是他就痛说的是。
[96:24.680] 所以一般的都是女生，
[96:27.610] 我是一点都没事儿，他就不行，所以我说你去我不去了。
[96:35.130] 是您这东西您都开这么多年车，我觉得也应该能做决定。
[96:39.720] 我还是对你要尊重意见，您就得怎么
[96:44.610] 我还是愿意自己就直接那种。
[96:47.730] 其实那是它可以穿透买，要我根本就不想买，我还等于您现在还穿了没，他就黑。
[96:55.100] 当时换这辆车也能算下来。
[96:57.780] 我都
[97:00.350] 挺好的，该说这消费那不就是这样吗？你挣的钱那就是好的，我觉得
[97:07.590] 这岁数了，
[97:09.180] 您看这次一穷二白，
[97:10.930] 异型了，一群按理说应该影响很多，
[97:13.610] 做生意的就不用说了，肯定影响。
[97:16.210] 这上班的都有影响，但是疫情过后从4月份到5月份就没干什么，今年的5月份是比去年5月份销量还大，
[97:23.650] 为什么好多人就是想把存那点钱就买个车，然后
[97:29.840] 换一个车。
[97:30.940] 对，享受当下。
[97:33.070] 我是觉着这岁数了，我都现在因为我今年开始都不上班
[97:38.640] 了，退休不正好是换车，然后出去玩什么的吗？
[97:43.130] 这开上奔驰，您在早在您完对在藻奔驰不就是一个人的这个东西梦想吗？反正我这个人特别爱玩，
[97:54.550] 我上班的时候我们也是老玩，每年都出去玩两次挺好，单位也还行，有时候跟着老总说，
[98:03.290] 所以还行就爱玩，退休肯定是预警，要不一听我肯定就对你买各位四驱的上哪玩的也方便，
[98:12.810] 一年反正肯定出去一两次，
[98:18.640] 等到老了也赚不了
[98:20.680] 了，你切了。
[98:23.080] 我估计没事，这两天还得再开个车裂再换车。
[98:27.310] 不换了绝对不换。
[98:29.680] 不过这个车我准备开两年就给我们家孩子，我也不怎么
[98:37.080] 他是说
[98:38.250] 买了您先开，
[98:39.740] 开完了我再开我行。
[98:41.990] 他开
[98:44.140] 什么就等叫什么东北那边被套。
[98:50.710] 您看20就行，没必要说您因为到他那
[98:55.360] 可能还几年还得换，他们肯定没这个货，没必要说买延伸肯定10年。
[99:01.560] 那就是用不了10年以后用不了时间。
[99:04.940] 现在的车开10年的不多，
[99:09.090] 我觉得今年又浪费了多浪费了，但是您知道吗？您时间有
[99:15.680] 您10年的时候这个车还能卖上点钱，你说这能卖多少？
[99:21.530] 感觉
[99:23.180] 10年的天。
[99:25.320] 你买是多少钱？
[99:27.600] 24万多。
[99:29.820] 4万14年
[99:33.360] 0
[99:34.520] 的
[99:35.510] 二
[99:36.960] 10年上回是10年的4月份是每年的价格来，这是
[99:43.860] 我觉得
[99:46.000] 有个7万上下是吗？
[99:49.590] 我同事那雅阁当时我想他是两年前
[99:55.270] 可能是8万多，
[99:58.240] 其实他那雅观，
[99:59.860] 当时到10年
[100:02.520] 他也是换了，
[100:04.880] 他主要是看年头这。
[100:06.990] 我觉得应该66,000六六六六七万块钱，我觉得差不多。
[100:12.650] 对就行。
[100:14.610] 再开两年您是12年的一下又跌下去了。
[100:18.640] 对它不叫浪费，因为他北京换到钱，
[100:21.550] 开了15年的时候不用想千八百块钱，不是那万八千块钱。
[100:28.450] 那时候才叫浪费。
[100:33.400] 就是这样。
[100:38.040] 您
[100:39.990] 怎么着，您是到时候您和您先生再来一趟看看，我想应该交钱的时候我还是让他过来。
[100:46.750] 反正家是定不下来的话，您就可以先回家商量，然后趁着这一两天，哪怕说下午或者明天你再过来看看，
[100:55.970] 因为确实要合适跟他买车。
[100:59.910] 你先说260的豪华是有什么，就有黑色就可以了。
[101:07.140] 你们买这车就擦上买黑色，您开也行，您孩子拍也行，您什么拍也行，男的开也行，你自拍行我们家的。
[101:13.900] 那辆车就是关键是最后卖车的时候还保值是
[101:17.040] 吗？
[101:17.270] 对，那就再来一辆黑的，其实我觉得那时抹花也
[101:22.710] 石墨灰他
[101:24.170] 他是什么？您在展厅里看好看了，外边看房也好看，但半年以后可能就不好看了，因为你看你有时候特容易
[101:31.490] 奔驰他要的就是黑色的这种感觉，您看S然后别的颜色只有黑色，
[101:38.540] 红色。
[101:40.650] 肯定是黑色大气，这您不用想看到哪都是大忌。
[101:45.460] 什么我估计您看看，我看她还是不一定好看。
[101:48.950] 听清楚。
[101:50.620] 我还等。
[101:52.300] 您要是说今天肯定是定不下来，肯定得让您先生过来，您就别等到时候我可以电话告诉您价格，或者您下次来告诉您都可以电话
[102:01.380] 旅行可以让您心里有个谱，我回去再跟他上您商量一下，然后您看如果说对吧，就说明天上午早点反正凉快点过来再看一下，没问题就可以定下来，甚至车多甚至有脖子。
[102:14.540] 你别说这边这你就变。
[102:17.290] 应该不是，因为
[102:18.890] 您比如说今天要定的不好，没事，明天价格力度还更活分一些，但是这两天肯定是一个买车的朋友好吧？
[102:28.730] 我也别耽误了，这道就说不上什么耽误了，然后他评估完了你告诉对，等我告诉你们时候，明天需要给您打一个回访，上午方便下午方便吗？
[102:39.420] 然后后期的电话手机微信我看您方便。
[102:43.450] OK好行没问题，好了你
[102:47.420] 直接回了吗？我今天回去咱扫一下那钱的二维码。
[102:52.110] 数据
[102:53.520] 场、
[103:01.010] 的。
[103:02.110] 想玩了就怎么了。
[103:04.530] 我到武汉
[103:09.860] 您车牌号多少？我跟他说来没事儿，谢谢。
[103:20.080] A4
[103:21.440] 00
[103:23.240] 九确认绑定。
[103:26.010] 行，15分钟之内出就行了，10分钟。
[103:29.600] 让他看这个不用你直接走了才告诉我了，对。
[103:33.960] 好，把这关了就行了，行再看好好。
[103:38.900] 到时候给您留好，明天保留了。
[103:43.500] 然后不行今天晚上下午了，咱们联系一下，我可以明天您可以过来看行。
[103:49.570] 好吧，行慢老阿姨。
[103:52.440] 没空做老师了，大家光临我说
[103:56.350] 三
[104:02.790] L我还真没接触。
[104:06.280] 不出来了。
[105:05.390] 了
[105:13.050] 的
[105:16.680] 4
