[00:00.000] 我们详细聊聊190，
[82:21.200] 到后面我就只是负责一个辅助，
[82:24.310] 他会重新您看他在跟我较劲，我在跟我较劲，他就自己再回到这个车到县里面，
[82:30.230] 他后期保养的费用是个什么样的一年或1万公里保养一次，小宝1000怏，大包一千七八，不算贵了，一年或1万公里。
[82:39.860] 没关系，我就跟您在聊着天，那么我就可以很放松地跟他聊天，
[82:44.710] 但是因为中国法律不允许无人假设，就不是周，所以说每20秒钟他你得摸一下放盘，
[82:50.260] 但别的手机跟就跟着，但是我跟您聊看这面能聊天，
[82:54.330] 很方便，
[82:55.250] 对吧？需要超车了，打一下转向灯解除帮忙控制，
[82:58.750] 他会自己加油，他会自己加速，然后重新识别
[83:02.710] 就可以了。
[83:03.970] 就很方便接触了，办公室怎么检查出来赚钱了，打一下就完了，对打着转动它会自己加速了。
[83:10.550] 此车队超车
[83:12.710] 需要比如说您看现在
[83:14.320] 我这车超了对吧？我笑回来了，
[83:17.460] 对吧？打回转向灯，
[83:19.580] 还要重新开吗？要变绿色就开始重新识别了。
[83:23.500] 这很方便。
[83:24.720] 对吧？然后咱靠边先抽好了。
[83:28.480] 自动泊车，
[83:30.020] 渤入全能全能带了，
[83:32.210] 他不但自己能开进去才能自己开出来。
[83:35.400] 倒车的叫什么名字？
[83:38.080] 特侧方什么的全都能买套包，郑注全都是全都OK的。
[83:49.050] 这价位50您说它贵吗？真的不算贵了。
[84:03.310] 玩旅行车Volvo是鼻祖，
[84:06.800] 而且瑞典哥德堡一个整车进口的这么大型的旅行车，您50万这价格买得很难了。
[84:14.250] 我从
[84:15.320] 档位显示在底下抬头显示都配齐了，给油自动送首，
[84:20.020] 这是不要，谁知
[84:22.080] 给油自动送手刹，熄火自己拉手刹，什么都是自动的，
[84:26.430] 雨刮器大灯什么都是自动
[84:30.090] 傻瓜相机似的。
[84:31.180] 对，您可以往右边走走，田村那条道车少点。
[84:35.790] 没事走这条。
[84:37.160] 走到到机场了。
[84:39.230] 行行您说了算，没事。
[84:41.390] 感受一下这很舒服。
[84:43.210] 它不沉没车。
[84:44.610] 您高不高我这作业没事先这样。
[84:47.510] 上班
[84:50.800] 的刹车，
[84:52.240] 全部都开车，
[84:53.200] 不成刹车，
[84:54.730] 刹车它是往下走的，
[84:57.200] 这个跟日系的还不太一样，跟日系的雷克萨斯也不太一样，而且它的刹车他不贼，对他你就是说刹车他不是说不反映，他迅速反应，但是她给人感觉不是
[85:08.950] 上的钱。
[85:11.710] 往下走的，
[85:13.080] 你踩到哪到哪，还有你自己感觉到。
[85:15.800] 对，它是往下走的。
[85:17.930] 下次还可以。
[85:19.440] 踮脚运动模式是什么？不也比较流畅，
[85:25.910] 也比较长。
[85:26.940] 他打
[85:28.190] 就去女士方向盘，
[85:30.400] 清做人不要票行行。
[85:35.190] 相对来说这个车的方向盘一定要比你
[85:38.550] 你雷克萨斯那个重，你知道吗？
[85:42.360] 然后它会随着您的车速，它会自动的设置放慢的阻尼力度，包括它的光亮，
[85:47.400] 你速度越快，你左右打方向它的误差会越小，肯定会越重，对。
[85:52.200] 基本上车都是这么瘦，就是豪华车
[85:54.410] 为了安全起见，
[85:56.740] 现在这现车什么颜色？
[85:59.550] 我刚才查了一下现车被
[86:03.680] 了，现在您能定的话，基本上这车买的话水晶白或者欢迎您颜色
[86:09.400] 是比较多的。
[86:11.400] 他S
[86:12.710] 其实他蓝色特好，
[86:16.500] 没有蓝色，类似于电影蓝燕影蓝内就展厅里摆S90颜色，那个是只有运动版，还有？
[86:26.410] 没有？
[86:27.660] 后期贴膜当时这是没办法做到了。
[86:31.480] 三就行了。
[86:32.400] 白色外观，他轮眉4周那个轮眉是黑色的，配起来很好看。
[86:36.640] 对，再配一个棕色的，那水很漂亮的强势。
[86:41.650] 白色我们路上有一台，但我们不确定那台是否会变成我们的试驾车，我得跟领导核实一下，没有的话这个月到或者下月初就能到很快一个月左右，
[86:51.690] 石颜色不是不能选择可以选，
[86:54.750] 我们帮您找就完了，您把您的需求提出来，我们帮您找，一般来说就是黑内棕内。
[87:00.430] 这宗妹我觉得很高档，皮子手感对吧？而且手感很好。
[87:04.460] 皮子
[87:05.840] 特别好，哪怕公益的
[87:08.670] 爱马仕的包用的就是这款工艺，
[87:11.590] 这中间
[87:12.760] 四驱传统周不是放车里就放车底下。
[87:16.420] 轴肯定得有这轴，你要不放车里边
[87:20.070] 放着，但你要放车底下就会影响你的底盘的平整性了。
[87:23.770] 一般这种选择一般都是放车里面。
[87:29.390] 抬头显示您能看见吗？您这高度看不见了，看看哪儿，但您正前方正敬请您这高度肯定不合适了。
[87:36.470] 看一下我看见一点点您得调节角度。
[87:41.160] 钢铁侠
[87:42.290] 您的前面需凭空就出现了当前的时速导航信息，当天限速咱前半场投影出来了，当前限速70，我现在是27 27 26。
[87:51.970] 对很好用，到时候你给他演示一下自动泊车就行，可以，那一会我来办，因为我来给您验一件事就可以了。
[88:01.990] 很多细节配置
[88:04.760] 到顶了。
[88:06.060] 你说白了我们也看了看了图腾车，相信我是给他推荐，因为主要是这个车他开吗？
[88:12.560] 这女同志还是安全，而且您想开着车你想状况很难，
[88:16.750] 这主动安全太多了，都完全各方面全都规避了。
[88:22.880] 我们赚了旁边几个4S店了，他们对这个也不是特别热衷，比如说因为像我是比较喜欢卖这种，可能前一段的时候
[88:31.070] 这还没下放到经销店下放了，有些效果我们不卖，因为这个倒车时间会很长，而且也没太了解什么，因为我们这意思，我以前在别的店，我就是V90cc的一个专职的销售顾问，
[88:46.070] 怪不得原来一直也没试驾，
[88:49.540] 所以我们俩特想就是感受一下，其实沃尔沃旅行车是做的最好的Volvo，最重视的乘用车里面就是旅行车，这是他的看家本领。
[88:58.980] 对跟它同级别对比的，也就是上一个奥迪的A6我忘了欧洲的了，
[89:03.580] 但是人家刚换新款，您这50万这价位买到顶放好迪，欧洲放到D您连个低配都买不上，
[89:10.310] 什么都没有。
[89:11.370] 这车全楼一大灯远近光灯都可以自动调节，方向都自己调节，什么事都控不了，我特别喜欢她这个情况。
[89:17.930] 对安全的就不用说了，这目前是其他车都没有的，在而且这个车硬件堆得很高了，已经堆得相当全了，这车都有的。
[89:28.470] 你看前面什么都提示出来，前面有摄像头对。
[89:32.400] 这东西升级的话，软件升级就保养的时候都会给您自动更新，就自动更新了是吧？这会单独收费吗？不。
[89:40.590] 不会是吧？费都免费。
[89:44.200] 就是说它中期的那种大保要多少钱，最大的最贵的6万公里换全车油液加火花塞全都换完了，软完电我不敢说别的，我们店6600块钱，
[89:54.950] 相当便宜了，我自己开的别克我6万公里后还三驾能够要7000块钱，
[90:00.910] 我别说把产品的就会相当便宜了，全车油液全都换了，加活塞6600块钱，我明白我可以明天落得
[90:08.190] 相当合适，你要是要真开了，你要帮我别的品牌车型，这真不贵了。
[90:13.270] 而且这还是一进口车。
[90:15.950] 网上直接吐槽快我什么贵你谈谈买，我知道你干嘛，我刚才不跟你说了吗？
[90:21.900] 而且咱就没良心说，咱给您讲一下这个问题。
[90:26.210] 我跟很多人讲，比如说
[90:28.110] 这个东西它成本100块钱，
[90:30.400] 他卖130，您觉得贵OK往前推个头就行了，对然后按照这个不用问。
[90:36.600] 然后你说比如成本100块钱卖130，您觉得贵。
[90:40.020] B别品牌成本30也卖130，
[90:43.550] 您说这两个东西它是一样的东西，虽然说卖的价格是一样，
[90:46.840] 对不对？这就是区别。
[91:03.050] 我可以说哪个品牌都有黑都要黑的。
[91:06.430] 这东西很多，现在网上很多人这车都没买，就他这个顶配把该给你的都给你了，
[91:12.490] 安全性、舒适性，包括娱乐性都给你了。
[91:16.240] 对你知道吗？而且说白了价格全都低于50万，真的是。
[91:21.120] 真的不贵了，没什么说的了，没什么说的。
[91:23.870] 而且特别是家庭中最注重的这几个，因为你空间后排的储物空间，
[91:29.330] 咱们给您做一件事，关于自动泊车辅助演示，
[91:33.220] 咱就随便找一路边侧方停车，那不是比较关键。
[91:36.800] 对吧？
[91:37.470] 你看它这个雷达显示，
[91:42.120] 包括还有一种很细节的，比如说您看您上了车不会调节，我看您费劲我就可以帮您调解，
[91:48.710] OK帮您调节，包括后备箱都能单独上。
[91:53.430] 然后自动泊入才能博出去，能播出来选择不录OK，它会提示您往前走，
[91:59.790] 您就正常往前走就可以
[92:01.980] 了，挣钱往前走它会识别你的侧方停车，
[92:05.060] 他马上就会识别，
[92:07.160] 你就往前走，
[92:10.610] 找着了，
[92:11.630] 停驻一货车踩刹车，
[92:14.320] 然后它会提示您平行车位或者垂直选平行，抓住到党，
[92:19.010] 您就控制好你的控制好你的刹车，下车就行，对。
[92:26.730] 您自己控制车速，您来控制车速，它是为了控制车速，因为你要不控制车速它很快的。
[92:32.900] 对他受不了，对，您看一小篮条看见了吗？
[92:36.050] 小兰条OK，
[92:38.360] 他到蓝条您就可以把车停完了，它会提示您下一步，
[92:42.180] OK提示您下一步
[92:44.180] 火车完成，您可以开车门看看这个距离，我想的刚才谁知他踩的是控制车速车速度的，就是说已经停到位的时候，最后那一下是你踩着就行了，采访就完了，踩稳就行了，他也不有一个蓝条到头了，你到一半的时候你踩住了他也不动了，
[93:02.960] 或者如果说
[93:04.570] 这车一把楼它停不进来。
[93:06.680] 它也会提示您停稳了，他会听您挂倒档，他会自己把轮子自己打好。
[93:11.120] 就可以了。
[93:12.100] 一会咱们再给您做一件事，比如说我需要开出来了，
[93:15.050] 点播出达左边转向灯，
[93:19.150] 他认为你自己都能开出去一把楼就能看出你的，我给你一会做个演示。
[93:23.950] 停了等着您，要不您过去看一下我看了。
[93:27.300] 特别进洞了，对。
[93:28.950] 100。
[93:29.870] 都是100到。
[93:32.210] 它比人听得准。
[93:34.240] 然后咱再到绵区里面比较安静的，咱去找一个筹备人就是一家。
[93:40.120] 反正就涛今天我觉得
[93:42.160] 这什么也别说了，我研究半天了，
[93:44.730] 我就没找着摄像车，但是你感受这个真是棒，
[93:48.430] 这不让听。
[93:51.480] 因为我什么我的
[93:57.250] 对。
[94:04.870] 如果说到那点，比如说到那边很近了，我还不踩刹车，他自己给拍死。
[94:09.600] 赵斌没办完事了吗？把拔完没交上了吗？
[94:14.020] 暑假
[94:15.620] 试驾车。
[94:17.530] 是不是如果是快装后边那辆我还没踩刹车的话，他完全刹停他提前下庭，对。
[94:25.890] 刚才说我也是顶部普拉多吗，他音箱尾巴的GGBGBL对。
[94:34.850] 他
[94:35.920] 我就到现在除了用它的本身带的cd播放，其他的都不支持你知道吧？
[94:42.470] 我就担心不存在MP三都想意外，然后包括无损都能职权音频都能支持，
[94:49.050] 只是看您当前这1月有多少音轨，它自己激活它多少个喇叭，看您个人了，这种侧方停车左侧停他会没问题，他会告诉你给你留住夏至会侧方停车，只识别U房这事没有，因为这是法律法规要求，对他不会完全左侧
[95:05.840] 掉头了，你这个解释我非常接受，这教室都实话实说的，对我非常清楚是这意思。
[95:11.480] 对吧？法律法规规定的必须得按法律法规来弄，比如咱就正常找一车位对吧？咱只能找
[95:17.700] 到这给他，咱因为正常您肯定会需要行驶过程中时间吗？咱这就稍微识别一下。
[95:23.880] 他就觉得能停下了，他就告诉你了，对需要驶入对吧？OK字句它会
[95:30.010] 应该它能识别出来，因为这车有很多
[95:32.260] 找着车位继续前行。
[95:34.380] OK行，它会提示您停发到的，
[95:37.970] 他会自己识别垂直停车了，
[95:42.370] 它会出来一个篮球他自己来，你带着刹车我在刹车我肯定带刹车，我控制车OK，
[95:47.910] 全部另外一段，
[95:49.930] OK他要把钱就拿让你挂D档，
[95:54.110] 一样他自己打。
[95:55.660] 还有我控制刹车，OK，
[95:59.000] 霸道地找到阿里巴巴，
[96:05.770] 司机还找车位线。
[96:09.490] 可以对不对？
[96:13.500] OK把手进去拿，
[96:15.090] 放盘给你回正了。
[96:16.780] 自己还得办，还得让再挂一个再来一把，他要把车彻底给你调好了吗？对他人？
[96:22.620] 它是一条车队，他傻吗？
[96:25.450] 傻，他给他抄抄吧，一点都不是小孩了。
[96:29.410] 不敢。
[96:30.530] 明白了。
[96:31.960] 还是不管。
[96:34.200]  OK我就停了，因为她简直是靠你左右两边的车道线它互相识别，
[96:43.580] 然后开出去
[96:44.900] 实车，
[96:46.600] 选择突然两边来车，他会自己感觉到对也会感动。
[96:50.800] 包括你倒车，举个例子，
[96:53.440] 你倒车的时候，
[96:55.080] 我举什么例子，
[96:56.990] 也是这种纵向车位，
[96:59.140] 你车头朝里停我给你调解。
[97:01.290] 这还有一个叫倒车车侧警告，这一点是非常屌的一点，就是我给您做一件事，
[97:07.330] 结果研究了我就想看看你这解释的太到位
[97:11.250] 了，
[97:12.420] 咱们生活中肯定会遇到这种情况就赶上了，你知道吗？你换个别的他也解释不了这么清楚。
[97:18.160] 我跟您做一件事，比如说咱正常着急停车，对就这种车头朝里停，不他有一个叫cd A到车次的警告是什么意思呢？
[97:26.360] 你挂倒档的情况下，它会识别你后方左右两边30米范围之内哪方向来车，它都会提示您，比如说左侧来车30米，它会提示您来行人，他都会你看看这个标识看到了吗？
[97:39.200] 单独出来的，
[97:40.240] 这叫cd A倒车车侧警告手中我还没有任何反应，我还得给他油门，完全自动刹车知道，
[97:46.760] 这种两边都有车，你其实你侧方你到车时候你是干嘛的，对他都帮你识别帮你看到了，
[97:53.680] 你就挣到就可以
[97:55.340] 了，这时候左两边保证没有车，这叫沃尔沃给您这叫ct A倒车车侧警告轻轻
[98:00.790] 他没有这种直接泊车吗？
[98:03.450] 也不用这种车头朝着一般正规的都是他录的，不是倒车入撞车事故，对他不存在说那种情况。
[98:12.680] 这就是它的主要的主动安全。
[98:16.360] 还想了解那方面都可以，后来座椅它除了
[98:19.590] 不能移动什么都不可以，你不可以移动也不用调是吗？
[98:23.840] 对，但是你可以通过比如说我现在您自己开，
[98:27.900] 一会等您下车您坐也是。
[98:31.340] 车位被占。
[98:33.220] 那啥。
[98:45.360] 快差1.5米，
[98:46.990] 5米出头了，5米出头4米9490。
[98:51.100] 多少？
[98:52.310] 490多，来举个例子，
[98:55.700] 您可以往中间坐点，因为两边投资者你可以控制，
[98:59.000] 比如说您一人开车，您直接可以帮它折叠头枕，
[99:03.510] 直接就不会遮挡你的后视镜的一个市县，明白，对，然后这是一个功能的细节功能，
[99:09.680] 然后所有的图标都会根据你的个人喜好来单独调节，你喜欢他在什么位置它就在什么位置，这就是一个个性化的定制。
[99:16.710] 包括。
[99:17.920] 这个车系到什么份上，您可以选择一个配置文件。
[99:21.630] 比如说您来了，您可以直接选择12345，只要您使钥匙解锁，这个座椅在您接手的时候已经设置好了您当时设定的位置了，您可以选择客人模式，
[99:31.550] 选择客人的模式的情况下，所有的安全配置是强制开启，不能手动关闭，明白。
[99:37.080] 交由专门客人用，对街边用的时候
[99:40.190] 都可以控制，然后包括用手机控制车辆等等一系列远程解锁远程定位这种标准F都有，包括内外后视镜的自动防眩目，就是说我上车之前让车自己出来都可以，
[99:51.310] 不能自己出来，没那么说，就是说它能远程的打招呼远程启动，然后空调什么的先给开了，对，然后这个车他有一个24小时的人工管家服务，包括比如我特别着急，我需要出差，
[100:04.830] 它可以帮您预订航班，预定预定酒店，包括查询当地天气导航都通过这人工服务都可以。
[100:12.760] 然后如果说车辆的安全气囊被强制开启，就发生事故之后，SOS紧急求助就谅解，他会协助
[100:20.550] 驾驶员进行一个报警，包括把车辆定位主动的去发给警方，安排救护车或者救援直升飞机来救援。
[100:27.960] 对，只要您在中国境内这些东西一切都是可以找的。
[100:31.940] 这两名店这是沃尔沃的昂口随车管家服务。
[100:35.580] 对，下车时候放它也自动下去吗？
[100:38.160] 不会自动下去，因为他不带电动放盘。
[100:41.010] 为什么不带电动放盘？
[100:42.970] 这电子方其实就多一电梯的事，但是因为沃尔沃研究一旦发生特大事故的时候，沃尔沃会有一个自保装置，就是。
[100:50.630] 他的放盘转向感，包括油门踏板都会自动断掉，然后会有一个溃缩，
[100:56.120] 来给驾驶员腾出最大的空间，你电动的和不电动的差了三厘米，
[101:02.150] 这老毛的人轴，人家认为这三厘米就至关重要的三厘米，人家特意设计成一个手动饭碗。
[101:08.770] 然后包括沃尔沃座椅。
[101:10.310] 宁可让它座椅头枕不可以调节，因为他在一个头颈保护性，就是一旦发生特大事故，它的座椅
[101:16.570] 会自动往下一会往前移动约5厘米，已背会往后仰约15度，这是在一瞬间完成，它会分体，它会把正面受到冲击，直接射到D盘上，
[101:26.440] 它里边带三根防撞钢梁的座椅底下都在放着。
[101:29.990] 对。
[101:30.890] 就握一套，其实这个口已经。
[101:33.000] 今天真的很舒服的就是您设计很有学问的，就是你不管什么身高，不管什么身材，你坐上去
[101:39.930] 你都能枕着头枕，这是跟瑞典皇家医学院一起在研发的，你只有跟瑞典皇家医学在研发，他会给你一个瑞典国旗。
[101:47.630] 在这对，估计被人整下来了多好，就这个车。
[101:53.710] 慢点。
[101:55.500] 包括
[101:58.010] 您通过驾驶模式调节，也能看到后排的升降横。
[102:03.570] 他有一个便捷出入。
[102:05.160] 您开启别墅，您熄火以后底盘会自己下降是吧？到底下降，然后支持你自己看自己往下降，
[102:12.680] 跟他自己现在。
[102:18.620] 熄火，他就会自己往下降。
[102:20.100] 然后扫腿开启电动尾门，这都没有任何问题，早就关闭遭罪开启。
[102:24.590] 包括可以通过这个来放倒后排座对着我吃了，你不是包括这我就很细节，就是压杆这个级别给你配一个鸭腿很少见。
[102:34.130] 他的备胎是全尺寸展开的。
[102:37.690] 谁知。
[102:38.890] 备胎。
[102:40.320] 谁知小课堂上对也不是放东西的备胎。
[102:46.310] 在家逼格高点，他证明他能给你堆的东西很多，对。
[102:51.250] 我想问一下后面的，那么这个时间有没有车要在这里看到了
[102:57.170] 任何文件？
[102:58.750] 把这份您说只要您把手伸进去，它就自动改成您走到哪个侧门，哪个车门途径有两条。
[103:05.480] 他举个例子，我拿车钥匙的吗？我这个车门开的，其他那三个车门是没有解锁的，我走到这个车门
[103:11.910] 这个车门才有结果，谢谢他细节，比如让别的多对，然后你使用任何人家摸一下就可以锁车。
[103:18.970] 然后
[103:20.060] 比如我只是想单纯的放在后备箱的东西放进去了，
[103:23.520] 按下键。
[103:24.650] 就是关后备箱门的同时自动锁车，你就可以走人就可以了。
[103:29.190] 明白谢谢。
[103:31.480] 15 10万这样子。
[103:33.290] 现在能做的周末购物后的价格，
[103:35.920] 具体才能改掉，就感觉什么就了，我知道我先商量拿开始装好了，行没事。
[103:46.010] 真实性
[103:46.840] 说不清楚，这还有好多人不愿意做人。
[103:49.480] 我是比个人比较喜欢卖这种比较特殊，咱们说实话，因为旅行车在中国市场偏小众，
[103:55.500] 我们俩去那边，人家说到这车人家我都收回去了，都不接受这个车，真正沃尔沃精髓旅行车。
[104:05.430] 而且也是前期跟照车的数据库提交也差不多了。
[104:08.840] 空间是一样的，但是整体的他。
[104:11.520] 什么时候会出来ccfc版这个版本本身就是一个跨界车的风格，
[104:16.530] 在国外有普通的V90版本
[104:19.330] 着cc。
[104:20.310] 四驱高离地间隙，又有轿车的舒适性，还有SUV的通过性。
[104:24.990] 这是它一个兼容的方法。
[104:26.640] 欧洲人包括美美国人对两辆车的热情程度比较大，于中国这30个名单，
[104:32.350] 人家不像中国要求做大做强，一定要做得够大，人家车就讲究听。
[104:37.140] 人玩的东西多，人家想就说周你得去拉着东西出去，萧萧还有车价。
[104:44.310] 那就这样我都能算。
[104:45.660] 让您买脑该有的都有。
[104:48.420] 只要您确定说您买来找我价格，
[104:51.390] 这些东西我都能给您，咱想办法都能聊，不用明白，就看您什么时候买了，要不要沟通一下，反正您。
[104:57.490] 尽快确认给没事尽快。
[104:59.760] 云是开车来的。
[105:01.380] 开车来的您可以。
[105:02.370] 到前台给您扫一个免费出场马，
[105:07.460] 基本情况就这样。
[105:09.860] 听您了8月。
[105:11.660] 如果真是病的话，8月上旬。
[105:13.980] 尽快
[105:15.010] 因为涉及到一个
[105:17.950] 能倒什么车到
[105:19.530] 你可能听不是看您什么时候定。
[105:21.500] 您不定说实话我们4S店来说，这种车我们不太喜欢，
[105:27.250] 因为涉及到一个库龄时间长短的问题，这车你碰到真喜欢的人他会喜欢不喜欢大叔您不可口就装在中国大部分还是喜欢相声。
[105:36.670] 我们刚才去看，因为我们之前看大司看奔驰都看了一下。
[105:41.200] 但是巴黎之后。
[105:42.390] 卅431S
[105:43.870] 1S看了一眼，然后又看1S觉得I而且不错，就S也不你有一个浙大的了，觉得
[105:51.590] 买个小的，
[105:52.840] 您买社级别了，您基本上你要买小米也看不上。
[105:56.620] 对，CS他滚动的那种就得买三枚，是有5行50万。
[106:02.050] 43万多万中配就行。
[106:04.280] 毛病不要紧，43万多300亿。
[106:07.410] 13万多你觉得
[106:09.310] 油门还挺清的事情，像我这女同志，我觉得这时候绝对不着车，觉得比你好看影响说好看，但是我就讨厌他啥，就是科技感太差了，小的技术二把刀子。
[106:19.660] 过你也没摸过车的时候我就受不了。
[106:21.920] 这个级别的车都是好的车了，各自专注的领域是不一样的。1S的主要的
[106:27.790] 优势就是他们的就走的就是日系风格，现在靠外观比较区都是靠外观取胜，不是X也不错，对。
[106:34.930] 价格您得看您价位又往上走了。
[106:38.000] 差不多SS2XI增长您慢点等于是。
[106:43.240] 好，特别设计。
[106:53.970] 今天我接的为一个准的，
[106:56.380] 为准的，
[106:57.590] 90%能定。
[106:59.310] 那车也不来回去考虑，一两天不差钱，确定好咱这车了，他这什么聊。
[107:05.270] 然后顶配这车置换卖了3000千千万，这是威8版都没了，
[107:13.540] 不差钱特别松散了，扫完了。
[107:16.800] 不差钱素质特别高，而且特别准，就买V90品牌。
[107:21.320] 你看人家买什么就买这品牌的品牌，他人也不看别的了。
[107:28.090] 自己我今天接到为一个转折，其实我接了5组客户。
[107:32.900] 他们说5分钟就走10分钟，我也是没超过5分钟太疯狂了，说
[107:36.990] 今天唱得不多，二次首次都觉得受不了了。
[107:41.590] 我今天真没少。
[107:43.200] 再加上灵的嗓子跟人聊着天儿。
[107:45.320] 全都。
